Gene	4N_C3_1	4N_C3_2	4N_C3_3	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_1	4N_CL_2	4N_CL_3	4N_CL_4	4N_CL_5	CL_1	CL_16C_1	CL_16C_2	CL_16C_3	CL_2	CL_3	CL_4	CL_5	CL_6	CL_Block_1	CL_Block_2	CL_Block_3	CL_C3_1	CL_C3_2	CL_C3_3	CL_Rand_1	CL_Rand_2	CL_Rand_3	CL_SB_1	CL_SB_2	CL_SB_3	CL_UMI6_1	CL_UMI6_2	CL_UMI6_3	SBN_1	SBN_2	SBN_3	SBN_4	SBN_5	SBN_6	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_CL_4	SBN_CL_5	SBN_CL_6	SB_1	SB_2	SB_3	SB_4	SB_5	SB_6	SB_C3_1	SB_C3_2	SB_C3_3	SB_CL_1	SB_CL_2	SB_CL_3
35816	221	241	289	446	311	318	375	470	311	304	261	1186	13	147	275	649	1107	120	148	134	0	1	1	82	58	15	2	9	10	0	4	11	96	65	39	82	56	50	346	342	241	103	112	120	146	235	228	217	351	173	335	253	218	140	106	91	13	16	147
35817	268	287	284	349	264	324	308	350	224	240	189	1115	12	89	160	477	856	94	104	97	0	0	0	40	56	8	7	11	15	3	1	4	81	32	27	117	76	57	449	326	281	120	137	185	170	278	221	299	434	226	422	361	273	118	116	106	4	9	69
35824	517	416	471	307	232	281	3644	3613	490	445	391	1426	27	179	178	909	1337	268	288	243	2	1	2	89	71	4	1	1	2	8	18	26	136	58	22	875	611	459	2168	1568	1695	572	552	708	1285	1436	1704	2909	3514	2953	2855	2877	2820	520	425	434	55	69	776
35827	110	138	125	79	65	56	574	476	97	101	75	351	2	39	35	199	340	56	55	47	0	0	0	12	11	1	0	0	0	6	5	6	47	18	19	262	147	143	726	684	649	103	126	139	255	288	369	193	297	181	204	237	211	21	26	24	5	4	30
35830	51	83	58	44	25	32	84	75	5	4	4	21	0	4	1	11	19	9	2	2	0	0	0	0	2	0	0	0	0	5	1	0	3	1	0	59	39	35	607	383	447	7	10	7	19	24	41	94	154	86	146	162	120	9	11	9	0	1	6
35832	93	171	120	295	228	232	35	33	143	135	78	353	1	24	69	129	302	29	39	34	0	0	0	18	26	0	0	1	0	2	3	2	15	11	9	149	108	79	575	329	411	13	13	21	21	36	35	50	68	34	70	80	53	23	13	15	0	0	2
35835	0	0	2	43	30	36	2	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	2	1	12	9	9	0	0	1	2	2	0	0	3	0	6	2	1	0	0	0	0	0	0
35837	14	13	14	46	41	46	21	28	39	49	35	333	1	18	23	170	416	53	45	42	0	0	0	11	13	2	0	0	0	2	3	6	11	11	5	38	24	24	213	177	131	8	9	9	68	88	68	38	35	26	47	51	32	3	2	3	0	0	0
35838	95	122	101	128	139	120	179	170	160	180	136	832	6	69	76	453	821	183	196	204	2	0	0	24	36	4	1	0	0	4	3	4	41	34	35	98	85	47	402	374	294	39	49	48	173	243	202	87	138	64	142	117	132	14	14	11	0	1	7
35841	132	191	187	301	244	218	76	82	73	95	52	575	1	38	64	223	380	33	34	33	0	0	0	21	20	2	1	0	0	2	1	1	26	23	5	34	29	22	139	144	94	32	35	41	78	132	119	117	163	90	118	135	111	50	45	47	1	6	13
35843	28	61	50	195	136	170	7	9	30	35	12	238	2	21	9	113	192	40	40	37	0	0	0	7	8	0	2	0	2	3	3	1	11	16	7	26	24	22	169	128	104	7	6	9	52	50	58	12	11	8	18	22	18	3	2	3	0	0	0
35844	4	9	9	64	44	41	0	0	2	10	3	19	1	3	1	6	14	6	7	7	0	0	0	1	3	0	0	0	0	0	0	0	2	2	1	4	0	4	20	16	9	0	0	0	5	8	5	5	14	0	11	7	7	0	0	2	0	0	0
35847	28	30	16	207	141	133	4	2	19	23	14	86	0	4	11	41	56	8	8	11	0	0	0	5	2	0	2	0	0	0	1	0	6	7	5	17	8	7	58	50	38	12	14	22	44	50	49	10	13	4	11	15	9	0	0	0	0	0	0
35849	9	20	17	172	94	121	35	21	55	64	46	145	2	24	20	137	175	75	59	67	0	0	0	21	19	2	0	0	0	8	13	10	26	21	8	57	28	23	237	173	175	10	12	20	65	78	138	91	138	72	158	128	131	16	10	8	0	0	3
35856	103	124	103	235	158	178	781	475	305	372	292	711	16	198	215	396	625	446	473	376	3	0	1	78	108	4	1	5	2	58	75	81	170	97	73	198	145	92	1104	778	799	69	60	80	306	464	519	405	658	353	538	515	470	172	179	145	1	2	9
35857	560	546	536	313	314	290	1660	2037	303	346	173	1355	16	95	98	480	1207	125	119	87	0	0	1	34	24	3	1	2	5	1	7	6	108	33	22	1632	1178	903	2675	2022	2028	1391	1460	1662	2078	2406	2742	2857	3410	2415	2745	2612	2584	420	388	343	9	14	310
35859	5	7	6	90	41	55	6	2	12	8	4	39	0	8	7	18	32	15	12	11	0	0	0	0	4	0	0	0	0	2	0	0	6	4	1	19	8	6	96	72	72	4	3	2	15	18	28	22	27	9	19	14	16	1	2	3	0	0	2
