Sample	adapt_3p	adapt_polya	bp_processed	bp_written	quality_trimmed	r_processed	r_with_adapters	r_written
SB_C3_3	0	12	28835920	7707564	67197.0	379420	375955	351362
SB_C3_2	0	7	44176520	11510523	81757.0	581270	578509	531310
SB_C3_1	0	3	34766428	9062523	77852.0	457453	453448	416754
CL_SB_3	0	4	47191516	1092586	63935.0	620941	614817	36160
CL_SB_2	0	5	61541912	843152	61866.0	809762	801160	20995
CL_SB_1	0	1	45094296	435750	56733.0	593346	590099	13064
CL_4N_3	0	0	42590172	358138	57115.0	560397	557717	10136
CL_4N_2	0	7	61114564	745736	66843.0	804139	795216	13651
CL_4N_1	0	5	74196900	640092	83903.0	976275	969267	13184
CL_Rand_3	0	3	47019528	288168	101147.0	618678	614927	5542
CL_Rand_2	0	6	51726588	279596	87902.0	680613	677005	5448
CL_Rand_1	0	2	60989924	389636	76539.0	802499	797163	6825
CL_C3_3	0	161	40351288	1511226	110907.0	530938	526239	55441
CL_C3_2	0	89	55223424	10218302	97709.0	726624	708694	379610
CL_C3_1	0	41	51920920	7641973	82392.0	683170	672343	294410
CL_UMI6_3	0	19	47698816	11205195	77935.0	627616	612886	414489
CL_UMI6_2	0	8	44089424	8268564	72476.0	580124	571416	332731
CL_UMI6_1	0	43	42838388	9320920	105667.0	563663	556110	403495
CL_16C_3	0	10	37985636	7871235	58484.0	499811	494266	340789
CL_16C_2	0	18	36023468	6860844	48732.0	473993	470175	301293
CL_16C_1	0	0	17475440	362580	17592.0	229940	228626	13758
CL_Block_3	0	2	36389636	187148	22567.0	478811	476226	3182
CL_Block_2	0	3	53594744	256756	34215.0	705194	701598	4235
CL_Block_1	0	4	52366356	309527	35341.0	689031	684858	5445
SB_CL_3	0	3	43155384	10957718	30520.0	567834	564230	507134
SB_CL_2	0	31	45461908	10251697	44826.0	598183	593533	461053
SB_CL_1	0	11	54127276	12711894	51687.0	712201	706345	582672
SB_4N_3	0	223	131357868	23617797	229168.0	1728393	1711824	1058876
SB_4N_2	0	310	112057744	17811854	226181.0	1474444	1458997	790683
SB_4N_1	0	167	158146804	28905701	236130.0	2080879	2069663	1317640
4N_C3_3	0	51	191370812	28008119	168696.0	2518037	2505758	1264428
4N_C3_2	0	59	140076968	22415211	168040.0	1843118	1834928	1016554
4N_C3_1	0	85	177934772	26736294	178372.0	2341247	2331640	1211096
4N_CL_2	1	8	165860728	44561902	190138.0	2182378	2168182	2025605
4N_CL_1	0	4	144794592	38159194	161542.0	1905192	1891728	1732453
4N_3	0	142	166178940	17793511	170245.0	2186565	2177753	801520
4N_2	0	114	169747292	23243632	184189.0	2233517	2223209	1046336
4N_1	0	57	133550848	19918479	121576.0	1757248	1749175	899362
CL_3	0	36	162978504	41765201	154849.0	2144454	2118080	1831028
CL_2	0	49	201753172	45089211	214507.0	2654647	2619958	1910186
CL_1	0	29	139086080	37083859	135725.0	1830080	1804902	1628077
SBN_1	0	67	44470640	11047667	15767.0	585140	580947	496054
SBN_2	0	40	30551316	7375619	17815.0	401991	399326	330381
SBN_3	0	14	24956652	5649969	11605.0	328377	326530	254312
SBN_CL_1	0	123	26867368	7499513	7906.0	353518	349897	336097
SBN_CL_2	0	48	27269332	7555128	7530.0	358807	356716	341635
SBN_CL_3	0	163	34728960	9655865	10144.0	456960	452912	434954
SBN_4N_1	0	415	35358696	488152	37038.0	465246	459260	8498
SBN_4N_2	0	661	55542396	663737	58147.0	730821	722758	11748
SBN_4N_3	0	285	51746576	358458	48971.0	680876	676772	6940
CATS_1	3268	9098	17882496	837538		235296	230962	21397
CATS_2	3675	7513	15358840	574135		202090	200554	17098
CATS_3	4951	7917	22837240	905892		300490	296365	24011
SB_1	8	56	64768036	18479317	19759.0	852211	846652	833527
SB_2	3	34	103412212	29550174	32440.0	1360687	1348953	1326618
SB_3	6	22	56301864	16043752	20377.0	740814	736833	724731
SB_4	0	25	77063012	22166834	38312.0	1013987	996775	979353
SB_5	0	13	76428412	21709296	31135.0	1005637	994115	970895
SB_6	3	18	61401312	17542598	27381.0	807912	796603	780474
SBN_4N_4	0	11	84648040	24115340	30478.0	1113790	1089790	1050794
SBN_4N_5	0	18	77249136	21659017	24516.0	1016436	1001791	959683
SBN_4N_6	0	19	83956592	22011793	37209.0	1104692	1079301	947935
SBN_4	1	27	116563252	33399582	50407.0	1533727	1505504	1474022
SBN_5	1	13	80166700	22916141	33049.0	1054825	1036008	1013170
SBN_6	4	18	76016264	21453097	32472.0	1000214	989077	961591
SBN_CL_4	3	22	60849780	18320336	21960.0	800655	779646	765434
SBN_CL_5	0	26	83109572	24563781	42617.0	1093547	1079190	1052978
SBN_CL_6	0	25	94823376	28446643	36094.0	1247676	1222127	1200741
4N_4	0	69	98762228	19559383	242729.0	1299503	1274549	838668
4N_5	0	48	92764764	20259967	163244.0	1220589	1192019	862576
4N_6	0	36	85013372	18481913	140652.0	1118597	1096145	795296
4N_C3_4	1	47	135121236	31062637	38384.0	1777911	1731815	1341971
4N_C3_5	1	34	72930360	16318217	34234.0	959610	951619	735895
4N_C3_6	0	21	82054692	18636120	23491.0	1079667	1065663	831537
4N_CL_3	0	8	52477392	15448847	25080.0	690492	683170	663876
4N_CL_4	0	8	63138596	18353529	40343.0	830771	823515	793090
4N_CL_5	1	7	43618680	12712154	24695.0	573930	566181	543130
CL_4	0	7	65346928	17643776	33631.0	859828	847766	754645
CL_5	0	7	73145060	19619143	38982.0	962435	954085	847692
CL_6	1	9	50560824	13661936	24206.0	665274	658997	590263
