Sample	Mapped reads
4N_1	880866
4N_2	1028415
4N_3	783717
4N_4	811515
4N_5	831024
4N_6	770165
4N_C3_1	1196007
4N_C3_2	1001980
4N_C3_3	1246093
4N_C3_4	1293613
4N_C3_5	726690
4N_C3_6	816321
4N_CL_1	1707377
4N_CL_2	1997648
4N_CL_3	652926
4N_CL_4	782613
4N_CL_5	533159
CATS_1	2868
CATS_2	1708
CATS_3	1988
CL_1	1514342
CL_16C_1	10795
CL_16C_2	262456
CL_16C_3	294844
CL_2	1559334
CL_3	1666488
CL_4	737151
CL_4N_1	5098
CL_4N_2	3899
CL_4N_3	6647
CL_5	831995
CL_6	580134
CL_Block_1	801
CL_Block_2	312
CL_Block_3	358
CL_C3_1	149809
CL_C3_2	187070
CL_C3_3	31876
CL_Rand_1	994
CL_Rand_2	1445
CL_Rand_3	1357
CL_SB_1	8006
CL_SB_2	10022
CL_SB_3	25084
CL_UMI6_1	353650
CL_UMI6_2	245566
CL_UMI6_3	212216
SBN_1	485751
SBN_2	321149
SBN_3	249260
SBN_4	1437349
SBN_4N_1	2030
SBN_4N_2	2931
SBN_4N_3	2446
SBN_4N_4	1023696
SBN_4N_5	942388
SBN_4N_6	900968
SBN_5	989125
SBN_6	945380
SBN_CL_1	329292
SBN_CL_2	335839
SBN_CL_3	427942
SBN_CL_4	741454
SBN_CL_5	1034969
SBN_CL_6	1169963
SB_1	822724
SB_2	1305464
SB_3	715781
SB_4	957757
SB_4N_1	1281398
SB_4N_2	757709
SB_4N_3	1021396
SB_5	956034
SB_6	766314
SB_C3_1	407527
SB_C3_2	520664
SB_C3_3	343103
SB_CL_1	549979
SB_CL_2	406927
SB_CL_3	491316
