"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"4N_1"	51.07	0	0	1	1	41.05	21.18	0	0.01	22	0	0	0	459309	0	0	0	899362	2788	0	0.31	7.57	68042	0	369223	0	58.64	527351	30.0100498051499
"4N_2"	51.47	0	0	1	1	40.65	21.24	0	0.01	22	0	0	0	538503	0	0	0	1046336	3244	0	0.31	7.58	79262	0	425327	0	59.05	617765	27.6588447726165
"4N_3"	50.41	0	0	1	1	41.14	21.12	0	0.01	22	0	0	0	404010	0	0	0	801520	2244	0	0.28	8.18	65544	0	329722	0	58.59	469554	21.4745045310796
"4N_4"	51.24	0	0	1	1	38.32	21.19	0	0.01	23	0	0	0	429769	0	0	0	838668	1761	0	0.21	10.22	85738	0	321400	0	61.46	515507	39.6695505897255
"4N_5"	51.35	0	0	1	1	38.16	21.14	0	0.01	23	0	0	0	442902	0	0	0	862576	1725	0	0.2	10.3	88812	0	329137	0	61.65	531714	43.5620835514657
"4N_6"	51.26	0	0	1	1	38.49	21.15	0	0.01	23	0	0	0	407705	0	0	0	795296	1829	0	0.23	10.02	79694	0	306068	0	61.28	487399	43.5723500063025
"4N_C3_1"	52.44	0	0	1	1	39.28	21.27	0	0.02	22	0	0	0	635135	0	0	0	1211096	8962	0	0.74	7.54	91276	0	475723	0	59.98	726411	31.0266708296903
"4N_C3_2"	50.81	0	0	1.01	1	39.99	21.17	0	0.01	22	0	0	0	516466	0	0	0	1016554	7420	0	0.73	8.48	86171	0	406497	0	59.29	602637	32.6966043411219
"4N_C3_3"	51.87	0	0	1	1	39.49	21.23	0	0.01	22	0	0	0	655894	0	0	0	1264428	8599	0	0.68	7.95	100571	0	499364	0	59.82	756465	30.0418540315333
"4N_C3_4"	51.25	0	0	1	1	36.79	21.07	0	0.01	23	0	0	0	687765	0	0	0	1341971	6442	0	0.48	11.48	154023	0	493741	0	62.73	841788	47.3470269321693
"4N_C3_5"	51.04	0	0	1	1	37.23	21.12	0	0.01	22	0	0	0	375621	0	0	0	735895	3826	0	0.52	11.22	82536	0	273912	0	62.26	458157	47.7440835339357
"4N_C3_6"	51.18	0	0	1	1	37.25	21.11	0	0.01	22	0	0	0	425561	0	0	0	831537	4740	0	0.57	11	91483	0	309753	0	62.18	517044	47.8892102842821
"4N_CL_1"	52.32	0	0	1	1	39.65	21.17	0	0.02	22	0	0	0	906415	0	0	0	1732453	15592	0	0.9	7.13	123521	0	686925	0	59.45	1029936	54.0594333799428
"4N_CL_2"	53.82	0	0	1	1	39.21	21.23	0	0.03	21	0	0	0	1090110	0	0	0	2025605	18028	0.01	0.89	6.08	123226	0	794241	0	59.9	1213336	55.5969680779407
"4N_CL_3"	51.58	0	0	1	1	40.1	21.38	0	0.01	23	0	0	0	342427	0	0	0	663876	199	0	0.03	8.29	55016	0	266234	0	59.87	397443	57.5593924332215
"4N_CL_4"	52.07	0	0	1	1	39.87	21.32	0	0.01	23	0	0	0	412926	0	0	0	793090	238	0	0.03	8.03	63659	0	316267	0	60.1	476585	57.3665907933715
"4N_CL_5"	52.5	0	0	1	1	39.77	21.37	0	0.01	23	0	0	0	285118	0	0	0	543130	217	0	0.04	7.7	41800	0	215995	0	60.2	326918	56.9613019009287
"CATS_1"	25.26	0	0	0	1	55.27	20.84	0	0.13	39	0	0	0	5405	0	0	0	21397	21	0	0.1	19.37	4145	0	11826	0	44.63	9550	4.05871753025976
"CATS_2"	18.87	0	0	0	1	66.33	20.73	0.01	0.11	33	0	0	0	3227	0	0	0	17098	19	0	0.11	14.69	2512	0	11340	0	33.56	5739	2.83982384086298
"CATS_3"	22.7	0	0	1	1	60.15	20.64	0.01	0.1	37	0	0	0	5450	0	0	0	24011	24	0	0.1	17.05	4095	0	14442	0	39.75	9545	3.17647841858298
"CL_1"	46.95	0	0	1.01	1	39.34	21.2	0	0.03	22	0	0	0	764329	0	0	0	1628077	2116	0	0.13	13.59	221197	0	640435	0	60.54	985526	53.8515256163665
"CL_16C_1"	47.89	0	0	1	1	40.14	20.77	0	0.02	26	0	0	0	6589	0	0	0	13758	26	0	0.19	11.77	1620	0	5523	0	59.66	8209	3.5700617552405
"CL_16C_2"	45.88	0	0	1	1	41.63	20.94	0	0.02	22	0	0	0	138244	0	0	0	301293	753	0	0.25	12.24	36879	0	125417	0	58.12	175123	36.9463262115685
"CL_16C_3"	46.74	0	0	1	1	41.4	21.12	0	0.03	23	0	0	0	159280	0	0	0	340789	647	0	0.19	11.67	39779	0	141083	0	58.41	199059	39.8268545510203
"CL_2"	41.81	0	0	1	1	47.13	20.9	0	0.03	23	0	0	0	798696	1	0	0	1910186	2674	0	0.14	10.92	208511	0	900304	0	52.73	1007207	37.9412780682328
"CL_3"	46.59	0	0	1.01	1	41.39	21.16	0	0.02	22	0	0	0	853116	0	0	0	1831028	2380	0	0.13	11.89	217771	0	757761	0	58.48	1070887	49.9375132318063
"CL_4"	52.32	0	0	1	1	39.42	21.13	0	0.01	23	0	0	0	394829	0	0	0	754645	906	0	0.12	8.14	61408	0	297502	0	60.46	456237	53.0614262387361
"CL_4N_1"	46.8	0	0	1	1	33.75	19.94	0	0.03	48	0	0	0	6170	0	1	0.01	13184	30	0	0.23	19.22	2534	0	4448	0	66.02	8704	0.891552072930271
"CL_4N_2"	47.4	0	0	0	1	30.81	19.75	0	0.07	54	0	0	0	6470	0	0	0	13651	22	0	0.16	21.63	2953	0	4206	0	69.03	9423	1.171812335927
"CL_4N_3"	44.46	0	0	1	0	38.59	20.52	0	0.02	35	0	0	0	4506	0	0	0	10136	39	0	0.38	16.57	1680	0	3911	0	61.03	6186	1.103860299038
"CL_5"	52.02	0	0	1	1	39.69	21.2	0	0.01	23	0	0	0	440964	0	0	0	847692	1102	0	0.13	8.15	69097	0	336529	0	60.17	510061	52.9969296627824
"CL_6"	51.95	0	0	1	1	39.26	21.13	0	0.01	23	0	0	0	306670	0	0	0	590263	649	0	0.11	8.67	51185	0	231759	0	60.62	357855	53.7906186022601
"CL_Block_1"	48.15	0	0	0	0	31.44	19.19	0	0.07	56	0	0	0	2622	0	0	0	5445	0	0	0	20.4	1111	0	1712	0	68.55	3733	0.541775333765825
"CL_Block_2"	47.06	0	0	0	0	30.63	19.06	0	0.04	60	0	0	0	1993	0	0	0	4235	2	0	0.05	22.27	943	0	1297	0	69.33	2936	0.416339333573456
"CL_Block_3"	48.87	0	0	0	0	30.86	19.09	0	0.04	58	0	0	0	1555	0	0	0	3182	0	0	0	20.27	645	0	982	0	69.14	2200	0.459471482484738
"CL_C3_1"	34.36	0	0	1	1	56.64	20.28	0	0.02	25	0	0	0	101171	0	0	0	294410	1148	0	0.39	8.61	25344	0	166747	0	42.97	126515	18.5188166927705
"CL_C3_2"	33.05	0	0	1	1	56.69	20.3	0	0.02	26	0	0	0	125444	0	0	0	379610	1405	0	0.37	9.89	37548	0	215213	0	42.94	162992	22.4314088166645
"CL_C3_3"	32.29	0	0	1	1	48.67	20.73	0	0.02	27	0	0	0	17901	0	0	0	55441	183	0	0.33	18.72	10377	0	26980	0	51.01	28278	5.32604560231138
"CL_Rand_1"	47.5	0	0	0	0	30.02	18.92	0	0.03	57	0	0	0	3242	0	0	0	6825	3	0	0.04	22.43	1531	0	2049	0	69.93	4773	0.594767096282986
"CL_Rand_2"	46.79	0	0	0	0	32.56	19.01	0	0.05	51	0	0	0	2549	0	0	0	5448	6	0	0.11	20.54	1119	0	1774	0	67.33	3668	0.538925938822796
"CL_Rand_3"	48.52	0	0	1	0	30.91	18.96	0	0.03	51	0	0	0	2689	0	0	0	5542	10	0	0.18	20.39	1130	0	1713	0	68.91	3819	0.617283950617284
"CL_SB_1"	42.28	0	0	1	1	44.21	20.48	0	0.03	33	0	0	0	5524	0	0	0	13064	26	0	0.2	13.3	1738	0	5776	0	55.58	7262	1.22390645592959
"CL_SB_2"	44.52	0	0	1	1	40.38	20.11	0	0.04	40	0	0	0	9346	0	0	0	20995	27	0	0.13	14.97	3144	0	8478	0	59.49	12490	1.54242851603311
