Length	SB_C3_3	SB_C3_2	SB_C3_1	CL_SB_3	CL_SB_2	CL_SB_1	CL_4N_3	CL_4N_2	CL_4N_1	CL_Rand_3	CL_Rand_2	CL_Rand_1	CL_C3_3	CL_C3_2	CL_C3_1	CL_UMI6_3	CL_UMI6_2	CL_UMI6_1	CL_16C_3	CL_16C_2	CL_16C_1	CL_Block_3	CL_Block_2	CL_Block_1	SB_CL_3	SB_CL_2	SB_CL_1	SB_4N_3	SB_4N_2	SB_4N_1	4N_C3_3	4N_C3_2	4N_C3_1	4N_CL_2	4N_CL_1	4N_3	4N_2	4N_1	CL_3	CL_2	CL_1	SBN_1	SBN_2	SBN_3	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_4N_1	SBN_4N_2	SBN_4N_3	CATS_1	CATS_2	CATS_3	SB_1	SB_2	SB_3	SB_4	SB_5	SB_6	SBN_4N_4	SBN_4N_5	SBN_4N_6	SBN_4	SBN_5	SBN_6	SBN_CL_4	SBN_CL_5	SBN_CL_6	4N_4	4N_5	4N_6	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_3	4N_CL_4	4N_CL_5	CL_4	CL_5	CL_6
0	2597	3472	3380	573882	780034	573626	541885	779756	950052	609168	670907	792170	425178	187783	129831	33833	22635	88742	82627	105532	31972	2598	3490	5178	2388	6530	3543	440746	416060	353929	1176912	765919	1058679	2446	5709	1349211	1155923	822484	15280	34964	18495	62462	49725	59976	1376	818	1024	452393	710611	666698	182638	153038	237048	1252	2691	1063	878	958	694	16187	14637	15929	12001	8370	7555	1114	1310	1672	430479	327907	273350	373177	189636	202271	7947	9129	7841	21488	22753	16812
1	44	46	62	3946	5714	4183	6941	8966	10882	233	268	371	1086	1751	1933	1726	1974	1665	3046	3937	82100	3961	5509	6293	214	687	448	13685	13540	8098	9298	5984	8039	61	44	5926	5009	3622	1954	4677	1604	644	654	576	260	249	330	2140	3659	3395	6780	6515	8266	45	76	36	88	71	71	247	240	360	422	247	309	760	941	868	1828	1354	1266	3141	1653	1807	498	456	706	3275	3674	2562
2	48	66	63	281	421	287	315	577	599	117	87	116	3616	11737	11784	2767	3565	2070	1556	1373	92917	465699	686960	666898	148	414	331	7524	10660	9405	274	224	207	36	52	133	117	95	9687	25126	5446	231	342	137	68	87	137	76	179	132	736	643	768	59	79	27	100	105	92	942	979	1578	399	217	338	101	117	163	366	306	406	1379	777	1028	240	170	359	484	600	367
3	53	121	92	333	226	169	66	111	143	118	119	103	5342	15099	20777	2888	3963	1759	3035	3245	5911	3142	4667	4715	573	830	375	18214	21599	21347	182	123	126	77	87	111	79	127	15364	41706	10916	411	419	216	85	149	238	135	414	325	889	951	902	90	176	70	192	231	164	951	898	1887	1007	577	745	158	211	239	6514	5785	8517	15245	8164	10999	181	191	220	1051	1246	794
4	104	151	162	355	351	230	45	71	86	78	100	93	2466	5057	17014	2838	4307	1110	1419	1149	266	60	83	114	346	1103	499	29043	42236	60429	341	250	276	112	141	168	167	268	14669	42987	8490	1264	1052	537	202	286	464	177	436	296	821	873	871	80	173	49	278	281	191	806	790	1614	956	453	763	139	175	202	699	645	807	1203	704	930	192	321	268	22911	26598	14379
5	390	587	490	313	330	207	60	44	59	72	88	86	3426	6602	21374	5365	9121	1414	2168	1330	71	40	53	69	401	1102	577	15576	21864	34091	790	601	678	555	602	278	249	291	18153	52879	10587	3764	3486	2537	671	874	984	366	879	696	2049	1839	2271	1601	4123	788	374	461	351	609	660	2257	2555	1104	1959	107	102	203	3499	3178	2729	2419	1262	1563	109	122	148	1216	1491	857
6	1001	1534	1135	230	192	134	37	23	37	58	59	75	2363	5733	19225	20451	39750	2991	3058	2005	114	32	74	67	1051	2981	3129	15518	19286	30166	1027	784	986	1952	2316	437	324	461	17658	53689	10854	1693	1423	820	1012	1024	1005	702	1704	1400	4205	4236	5388	162	311	159	381	377	275	879	782	5951	1514	964	1073	5183	406	8267	719	641	1309	1168	637	930	188	283	236	745	932	627
7	1786	2576	2263	246	150	106	75	56	91	54	69	62	2863	7683	23734	30292	54769	3857	5248	3279	142	26	27	48	4022	13930	15031	24451	33301	61901	1463	1289	1459	1991	2510	767	608	760	17923	58048	11704	2016	1550	967	893	925	1332	196	354	330	1222	1219	1438	261	398	233	591	486	349	1034	947	10833	1681	1160	1185	321	409	500	745	749	1516	1205	688	988	414	738	893	1355	1492	1082
8	2218	3253	2797	313	157	127	50	46	59	62	42	71	3396	9677	23785	12350	20226	3120	6513	3897	187	9	42	38	7197	25849	26590	23574	29755	51874	1508	1292	1540	3593	4892	949	822	937	18819	58205	11138	2636	2056	1309	1118	1127	1502	70	105	92	2571	2685	3245	400	939	325	900	788	583	1233	1172	16240	2311	1537	1531	349	453	390	679	697	1311	1266	693	1014	388	583	453	1353	1484	955
9	1672	2977	2250	339	115	118	45	47	48	65	46	55	3809	10403	21039	10239	13458	5295	4886	3970	206	10	10	16	5209	15996	14217	20113	24918	37603	2003	1661	2061	3595	4188	2598	1383	1603	19470	50722	11351	1887	1536	915	722	823	964	110	109	100	1408	1427	1404	539	1085	412	1136	1010	797	2000	1782	17250	2662	1942	1687	929	652	1379	971	970	2178	1902	1023	1522	450	692	565	1187	1350	820
10	1290	2637	1823	337	93	84	55	47	41	61	73	69	3341	6501	11735	8175	9319	4002	3569	2983	190	4	3	6	3543	8805	8239	9664	10078	17872	2779	2104	2821	3212	3503	1252	1062	1156	16078	40225	10781	1072	939	554	590	599	750	47	79	56	1326	1810	2273	463	931	425	1309	1248	903	2663	2352	14640	2689	1891	1647	1288	1221	1576	1033	1115	2258	1913	1027	1518	961	1656	1429	2626	2620	2042
11	1500	3281	1975	285	90	79	49	49	61	90	83	63	1416	6544	12116	9755	12570	4133	4749	4079	208	4	3	8	3049	7931	6938	7244	6273	12938	3996	2781	3888	3580	3818	1646	1400	1512	17375	42945	11478	1105	912	555	576	695	897	69	124	95	1062	979	1202	660	1079	566	1795	1665	1333	2589	2352	11639	2678	1898	1673	1056	1353	1179	1402	1458	2952	2170	1143	1765	629	977	763	1832	2045	1397
12	1046	1820	1555	352	82	89	63	58	78	105	112	76	1369	8692	10711	12267	11746	5431	5052	4289	223	7	3	19	3148	6698	5507	5103	4442	7327	3659	2946	3279	4284	4414	1883	1489	1877	20955	44120	12749	1012	876	561	620	709	935	59	105	71	1342	1746	1688	675	1167	573	1760	1792	1370	2418	2093	9579	2907	2167	1841	1289	1895	1404	1286	1475	2921	2933	1567	2178	962	1320	1010	2300	2560	1773
13	1255	2184	1899	350	67	82	120	180	187	178	214	140	1432	9247	10098	12524	8913	5892	5203	4339	213	4	7	23	3678	7189	6362	5050	4382	6824	4669	3529	3800	5725	5466	2384	1898	2471	18613	38724	11603	956	765	438	671	721	887	51	65	57	1263	1339	1934	696	1315	683	1626	1628	1266	2941	2501	8209	2734	1973	1657	2058	2885	2009	1935	2200	4616	4098	2318	3221	1644	2720	2228	2883	3313	2342
14	1718	2960	2486	494	106	98	85	63	100	339	363	305	1969	9357	10403	11082	7067	5235	4359	3926	234	11	2	15	5501	9347	8686	6172	4619	9303	6326	5013	4724	9443	9258	3060	2774	4157	20353	36379	12336	1200	922	557	694	790	900	31	43	31	1492	1524	1972	1409	2197	1232	2718	2669	2107	4750	4253	8668	3636	2716	2205	1649	2650	1721	2762	3002	5834	5485	2949	4246	1514	2570	1945	2677	3159	2114
15	2414	4705	3348	652	101	93	166	183	291	686	625	497	3684	11503	12601	11248	7481	5362	4977	4232	332	1	6	29	5149	8433	7971	4757	3604	6894	7692	6637	7306	17519	18368	3169	2756	3928	20498	38647	12252	3207	2346	1475	2299	2050	2761	32	49	31	1195	1407	1554	6211	10702	5890	11218	11100	9135	5214	4531	8306	8745	6995	5767	2104	3253	2167	2110	2383	4277	5268	2812	3806	2468	3923	2933	3326	3620	2773
16	3072	6498	4993	1651	348	433	97	82	132	698	819	637	6698	23526	20704	15403	10839	13109	12733	14596	626	6	6	28	6188	9993	9801	7091	5301	11849	21259	17031	20955	85630	94396	4757	4653	5498	25991	42763	15107	2184	1549	1235	4186	3793	5087	48	79	55	1228	1357	1884	1734	2870	1563	5728	6209	4867	13564	12315	15747	6236	4300	3819	3314	5032	3971	1853	1998	3855	5911	3193	4186	2945	5000	3711	4899	5352	4142
17	5850	11092	9926	422	190	137	107	129	145	954	1091	685	2043	10119	9896	9924	5690	4981	4824	4539	270	15	14	22	8895	9312	11285	15992	11843	21388	9430	8395	9327	12959	12974	6316	6468	6638	24583	37653	15110	1342	1058	700	1378	1453	1809	46	79	76	1672	1404	2371	2347	3757	1989	3562	3663	2890	3969	3469	6070	4572	3144	2869	13302	17504	19025	1955	2150	3199	6057	3469	4158	4886	6830	5092	29575	30454	19173
