Sample	coding_exons	GtRNAdb	intergenic	lncRNA	miRNA	miRNA_primary_transcript	misc_RNA_ensembl	Mt_rRNA_ensembl	Mt_tRNA_ensembl	piRBase	protein_coding_gene	ribozyme_ensembl	rRNA_ensembl	scaRNA_ensembl	snoRNA_ensembl	snRNA_ensembl	sRNA_ensembl	unmapped_reads
SB_C3_3	429	2205	15665	4562	161096	42	101	9	18	135	15340	190	272	2	14061	23	0	137212
SB_C3_2	670	3015	26015	6618	231925	61	111	10	9	251	24318	248	260	1	28815	29	0	208954
SB_C3_1	487	2632	17348	5593	193736	64	121	6	18	110	17147	247	373	0	13520	20	0	165332
CL_SB_3	215	75	2117	1345	11409	11	6	0	1	12	2992	4	46	0	1294	1	0	16632
CL_SB_2	232	16	2192	1367	4819	7	2	0	2	3	3352	10	209	0	279	0	0	8505
CL_SB_1	93	24	922	628	3841	5	2	0	0	5	1333	0	101	1	307	0	0	5802
CL_4N_3	84	4	983	509	3203	1	10	0	0	1	1351	3	8	0	29	0	0	3950
CL_4N_2	224	12	2173	1461	1881	5	5	0	0	1	3624	1	5	0	30	1	0	4228
CL_4N_1	208	11	1832	1217	2425	4	12	0	0	1	2936	2	5	0	50	1	0	4480
CL_Rand_3	88	24	920	688	657	0	14	0	0	0	1366	0	4	0	58	0	0	1723
CL_Rand_2	96	16	861	608	666	0	12	0	0	0	1345	0	1	0	63	0	0	1780
CL_Rand_1	144	19	1340	819	433	0	4	0	0	9	1964	0	11	0	28	2	0	2052
CL_C3_3	307	245	2808	1847	17807	19	7	4	3	77	4145	9	251	0	743	6	0	27163
CL_C3_2	1868	1583	22298	9242	93909	123	80	9	4	96	28490	135	399	0	4716	40	0	216618
CL_C3_1	1308	3019	15227	7563	75909	112	97	6	9	202	19580	89	659	0	2671	64	0	167895
CL_UMI6_3	2188	3792	26522	11255	101541	89	175	12	2	281	29459	397	900	0	4564	68	0	233244
CL_UMI6_2	1125	3302	16281	9694	119253	141	172	5	12	294	18200	408	1163	1	4505	124	0	158051
CL_UMI6_1	662	503	14904	8082	176196	190	212	3	3	108	18428	221	1298	0	9833	49	0	172803
CL_16C_3	617	1854	13988	7348	144654	177	177	2	1	168	17738	184	1045	0	11058	48	0	141730
CL_16C_2	462	612	10696	5810	134371	126	94	5	2	181	14574	65	711	0	7399	15	0	126170
CL_16C_1	52	65	679	453	5465	11	12	1	0	8	1086	4	45	0	328	0	0	5549
CL_Block_3	69	5	620	410	129	0	0	0	0	0	955	0	0	0	12	0	0	982
CL_Block_2	100	1	871	550	75	0	0	0	0	0	1327	0	0	0	12	0	0	1299
CL_Block_1	107	6	1086	664	313	0	0	0	0	1	1527	0	2	0	27	0	0	1712
SB_CL_3	835	1493	38633	5903	219612	12	250	0	0	117	39141	28	34	0	16603	22	0	184451
SB_CL_2	1565	3592	44408	12216	154457	27	250	106	81	2051	48518	20	1459	2	24021	138	0	168142
SB_CL_1	1592	2535	64875	9871	211367	0	118	53	37	1005	68650	10	797	0	35630	33	0	186099
SB_4N_3	1218	3331	50053	14260	472120	689	2143	14	16	184	43210	333	453	2	13096	359	0	457395
SB_4N_2	960	2473	38034	11259	351586	542	1684	9	25	155	33484	223	486	0	9168	278	0	340317
SB_4N_1	1241	3456	60637	14452	598464	334	2149	15	35	368	50114	262	635	0	22459	190	0	562829
4N_C3_3	1051	640	53717	15573	602711	1147	3842	2	5	165	50188	1271	177	1	25929	46	0	507963
4N_C3_2	884	737	44248	13874	480919	1068	3038	18	22	385	40302	1111	500	1	15475	54	1	413917
4N_C3_1	963	587	51441	13936	576897	1006	3559	16	11	193	48069	853	244	4	28599	32	1	484685
4N_CL_2	1744	1655	71132	26285	964549	883	935	23	15	507	71842	314	1296	2	72062	92	0	812269
4N_CL_1	1445	1613	53429	21583	827238	708	645	0	3	301	63328	283	623	0	58667	70	0	702517
4N_3	729	638	36211	10999	376970	1013	2524	25	34	177	30378	439	450	0	8713	254	0	331966
4N_2	803	367	50458	11605	496853	874	2551	12	14	83	35943	316	142	3	17569	172	0	428571
4N_1	612	266	41549	9878	426907	779	2349	9	10	84	31194	286	104	3	13179	142	0	372011
CL_3	3173	9198	76490	47681	790346	1554	1885	139	613	1827	101278	2108	9322	19	24629	621	4	760141
CL_2	5702	17013	81685	55630	694749	1443	1713	127	437	2866	109278	1343	8767	4	26000	450	0	902979
CL_1	2532	12702	68887	44955	723448	1697	2062	50	192	1699	94244	2428	10166	10	19871	582	1	642551
SBN_1	381	2351	14913	7859	245232	365	492	3	22	55	17167	2891	163	1	3412	23	0	200724
SBN_2	253	1635	9816	5573	163000	284	313	5	71	116	11676	1847	160	1	2367	18	0	133246
SBN_3	187	1203	7216	4096	126758	164	211	7	43	29	8666	1470	122	0	1804	13	0	102323
SBN_CL_1	285	1936	9666	7044	164904	117	411	8	27	55	14765	814	213	1	4463	21	0	131367
SBN_CL_2	366	1561	9988	7317	168357	175	470	14	20	266	15218	972	237	0	3749	38	0	132887
SBN_CL_3	375	1562	12636	9017	214741	181	564	4	14	65	20047	1231	147	2	5225	31	0	169112
SBN_4N_1	139	11	1464	994	1027	5	9	0	0	3	2346	6	58	1	26	5	0	2404
SBN_4N_2	193	9	1873	1322	1430	7	4	2	1	6	3322	5	102	0	38	9	0	3425
SBN_4N_3	78	6	1025	700	1206	2	9	0	3	2	1666	6	28	0	26	5	0	2178
CATS_1	507	23	1864	1373	1228	13	9	22	9	27	2822	0	1566	0	67	20	0	11847
CATS_2	405	12	1057	505	671	10	2	6	3	9	1696	0	1323	0	39	1	0	11359
CATS_3	599	9	1925	1190	772	5	7	14	7	12	3060	3	1824	0	106	12	0	14466
SB_1	733	629	26490	9304	409869	193	473	5	43	126	22595	2008	216	0	10346	11	0	350486
SB_2	1189	1029	42556	15661	648586	293	755	13	181	248	37408	3287	552	4	16276	20	0	558560
SB_3	554	407	22565	7644	355939	138	348	8	48	107	18688	1473	183	1	9665	9	0	306954
SB_4	1049	480	32637	12535	469997	256	491	7	6	51	32238	2850	42	0	11317	9	0	415388
SB_5	943	535	32215	12108	468648	315	493	12	13	35	31286	3734	38	0	9479	8	0	411033
SB_6	835	417	25729	10050	376395	248	401	2	2	28	25416	2796	26	0	7792	9	0	330328
SBN_4N_4	1328	1222	51363	14550	472130	947	2106	1	0	57	40851	658	67	0	14420	355	0	450739
SBN_4N_5	972	932	45930	12337	433137	817	1830	0	0	40	34507	544	32	0	13171	271	0	415163
SBN_4N_6	1252	905	48331	15154	416985	754	1859	0	0	208	38006	583	43	0	12325	278	0	411252
SBN_4	1599	1115	50316	32018	711380	1843	1080	1	2	30	75065	6063	102	0	7215	122	0	586071
SBN_5	1087	782	34259	22478	489941	1377	799	0	2	21	52790	4419	90	0	5061	143	1	399920
SBN_6	885	699	31373	19516	466322	1213	705	0	1	23	46266	3983	98	0	4690	98	1	385718
SBN_CL_4	1729	2122	38365	21474	332548	493	76	3	33	51	44053	112	223	1	4958	58	6	319129
SBN_CL_5	2085	2917	48836	27275	463935	733	131	2	3	34	55819	192	194	1	6935	68	18	443800
SBN_CL_6	2504	2906	57401	31895	520101	701	100	3	80	82	64899	132	377	0	8782	70	11	510697
4N_4	1050	348	48796	15714	384801	1300	2565	19	17	41	49333	1464	64	0	9703	292	0	323161
4N_5	1103	326	51293	16514	394865	1357	2524	0	0	30	52602	1457	3	0	9318	322	0	330862
4N_6	1057	257	48197	13875	361986	1135	2438	117	26	63	47097	1157	76	0	9650	267	1	307897
4N_C3_4	1786	592	70971	28381	638898	2746	3747	8	9	76	78588	2523	48	0	13229	185	1	500183
4N_C3_5	581	309	36100	13725	355821	1500	2156	49	15	72	38632	1478	42	1	7557	119	0	277738
4N_C3_6	814	319	41983	15896	398613	1624	2303	5	3	46	44355	1576	43	1	9368	95	0	314493
4N_CL_3	1135	484	35543	13132	284459	496	24	39	2	85	39787	14	96	1	22102	44	0	266433
4N_CL_4	1385	431	43457	16007	342044	599	39	6	2	74	45410	26	42	0	27017	46	0	316505
4N_CL_5	1123	217	30136	11161	228348	428	31	3	2	76	31262	18	34	0	24044	35	0	216212
CL_4	1380	424	31831	17565	321275	478	35	6	5	113	63030	28	189	0	19780	98	0	298408
CL_5	1430	929	35236	19902	360890	568	29	10	18	127	68050	22	308	2	22428	112	0	337631
CL_6	998	316	26028	14261	251921	431	16	24	8	95	47889	27	100	1	15639	101	0	232408
