precursor	miRNA	4N_1	4N_2	4N_3	4N_4	4N_5	4N_6	4N_C3_1	4N_C3_2	4N_C3_3	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_1	4N_CL_2	4N_CL_3	4N_CL_4	4N_CL_5	4N_CL_6	CL_1	CL_2	CL_3	CL_4	CL_5	CL_6	SBN_1	SBN_2	SBN_3	SBN_4	SBN_5	SBN_6	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_CL_4	SBN_CL_5	SBN_CL_6	SB_1	SB_2	SB_3	SB_4	SB_4N_1	SB_4N_2	SB_4N_3	SB_4N_4	SB_4N_5	SB_4N_6	SB_5	SB_6
hsa-let-7a-1	hsa-let-7a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	572.2824531841159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-1	hsa-let-7a-5p	1841.6206261510129	0.0	0.0	86956.52173913043	59970.50630837293	70511.82928715015	142857.14285714284	142857.14285714284	47619.04761904762	81368.35675015271	79537.44182766888	96592.43359270191	72578.58420649118	60739.184414096075	71121.80037794194	180563.54226566994	174051.80520331694	128234.26573426572	25000.0	23121.387283236993	50847.457627118645	64852.11751989782	53688.345700567435	52044.60966542751	89153.04606240713	81441.26357354393	80084.29926238145	66294.59235236443	54557.593870219054	64441.402548173115	155560.74060857273	139267.1627123403	149534.82240385702	99819.55972573077	97541.47511493105	99127.25796630808	90438.97279191397	80907.56948064419	83169.59599493984	61983.79204101183	17353.57917570499	45016.07717041801	33519.5530726257	48584.35248785392	32974.165909385956	44222.776392352454	62948.540533582214	67483.632701024
hsa-let-7a-2	hsa-let-7a-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	730.6677491374061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-2	hsa-let-7a-5p	1841.6206261510129	0.0	0.0	86956.52173913043	58004.260199901684	70511.82928715015	142857.14285714284	142857.14285714284	47619.04761904762	80635.30849114232	78691.2988295022	95787.49664609607	72578.58420649118	60452.67882723713	71121.80037794194	2012.6509488211618	4616.305246060469	0.0	25000.0	23121.387283236993	50847.457627118645	0.0	7420.340462680052	2478.3147459727384	89153.04606240713	79960.51332675222	80084.29926238145	66294.59235236443	54366.83305249101	63809.62409181846	156137.19650283424	139360.7562356685	148329.50393611813	4547.094911584265	3198.081151309215	3896.8946620661654	88147.14697067639	80496.03555653105	81877.64110569804	61983.79204101183	17353.57917570499	45016.07717041801	33519.5530726257	49254.48148768638	32974.165909385956	44222.776392352454	62369.25948572716	66140.674836327
hsa-let-7a-3	hsa-let-7a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	572.2824531841159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-3	hsa-let-7a-5p	1841.6206261510129	0.0	0.0	86956.52173913043	58004.260199901684	71439.61651461266	142857.14285714284	142857.14285714284	47619.04761904762	81368.35675015271	78691.2988295022	95787.49664609607	72578.58420649118	60452.67882723713	71121.80037794194	2012.6509488211618	2393.639757216539	262.23776223776224	25000.0	23121.387283236993	50847.457627118645	0.0	1745.9624618070711	2478.3147459727384	89153.04606240713	79960.51332675222	80084.29926238145	66068.33094501848	54557.593870219054	63809.62409181846	155560.74060857273	140015.91089896578	148706.16595728652	3031.3966077228433	2198.680791525085	3653.33874568703	88147.14697067639	80496.03555653105	81877.64110569804	62294.48774046553	17353.57917570499	45016.07717041801	33519.5530726257	48584.35248785392	32974.165909385956	44222.776392352454	61983.07212049046	65972.80510323988
hsa-let-7b	hsa-let-7b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7b	hsa-let-7b-5p	0.0	0.0	0.0	20066.889632107024	16713.091922005573	19483.53177671254	47619.04761904762	47619.04761904762	47619.04761904762	19059.25473427	21153.574954167256	20928.36061175208	54178.37975977511	30942.603380765926	70434.63322453186	41978.14836112709	37785.3133103468	29632.86713286713	25000.0	0.0	0.0	14739.117618158594	23134.002618943694	30978.934324659233	8915.304606240712	10365.251727541954	12644.889357218124	9502.979108530055	7248.911073665469	7160.155838685901	18034.834406181802	19280.265805606254	24257.03416324532	8011.548177553229	8594.843094143516	15344.022731885527	8462.126109184934	12592.93807786222	11143.110919710385	7612.044636615487	8676.789587852494	0.0	5586.59217877095	15077.902496230525	11683.759574191872	9975.062344139651	11006.339909245971	9064.965586704717
hsa-let-7c	hsa-let-7c-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7c	hsa-let-7c-5p	0.0	0.0	0.0	10033.444816053512	983.1230542356219	927.787227462502	0.0	0.0	0.0	1466.0965180207695	1692.2859963333804	0.0	0.0	0.0	0.0	0.0	2051.691220471319	4982.517482517483	0.0	0.0	16949.15254237288	0.0	0.0	0.0	0.0	1480.7502467917077	2107.481559536354	452.5228146919074	763.0432709121546	1474.149731494156	823.5084203735984	3088.586269830128	1581.9804889073034	866.113316492241	999.4003597841297	974.2236655165414	1057.7657636481167	246.92035446788665	322.98872231044595	2640.913445356394	0.0	0.0	0.0	335.0644999162339	2077.1128131896667	665.0041562759767	1930.9368261835034	839.3486654356219
hsa-let-7d	hsa-let-7d-3p	3683.2412523020257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1709.7426837260994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	678.784222037861	381.5216354560773	210.59281878487946	0.0	1871.8704665637138	451.99442540208673	216.52832912306025	399.76014391365186	0.0	0.0	82.30678482262887	484.483083465669	0.0	26030.368763557482	0.0	5586.59217877095	1005.1934997487016	519.2782032974167	1330.0083125519534	193.09368261835036	0.0
hsa-let-7d	hsa-let-7d-5p	0.0	0.0	0.0	6688.963210702341	13763.722759298706	9277.87227462502	0.0	0.0	71428.57142857142	26389.737324373855	21153.574954167256	20928.36061175208	31178.124201380015	33234.64807563747	54629.78869610033	29614.721104082804	20003.989399595364	33304.1958041958	12500.0	46242.774566473985	0.0	6485.211751989781	10039.28415539066	0.0	8915.304606240712	5923.000987166831	18967.33403582719	14028.207255449128	18694.560137347788	16636.832684005476	33846.19607735489	36782.25466797697	40905.49549888885	13857.813063875856	14591.245252848294	15344.022731885527	11459.129106187931	17119.811243106808	21155.761311334212	14758.045724050435	2169.1973969631235	0.0	0.0	1340.2579996649356	1557.8346098922498	3325.020781379884	14675.119878994627	13597.448380057076
hsa-let-7e	hsa-let-7e-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.2614073459537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7e	hsa-let-7e-5p	0.0	0.0	0.0	13377.926421404682	14746.845813534328	13916.80841193753	0.0	0.0	23809.52380952381	6597.434331093464	18615.145959667185	20928.36061175208	88934.32149246102	44408.365963136275	50506.785775639924	48016.10120759057	30091.47123357935	33566.43356643357	25000.0	0.0	0.0	33015.62346467525	15277.171540811873	26435.35729037588	2971.7682020802376	4442.250740375123	6322.444678609062	9276.717701184101	9156.519250945854	10740.233758028851	41010.7193346052	33974.44896813141	29756.29967230404	22085.889570552146	15190.885468718772	17779.581895676878	11635.423400129283	11522.949875168044	15664.95303205663	12738.523677601428	2169.1973969631235	0.0	27932.960893854746	12397.386496900654	10385.564065948332	11305.070656691605	12551.089370192773	13933.187846231323
hsa-let-7f-1	hsa-let-7f-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452.5228146919074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-1	hsa-let-7f-5p	25782.68876611418	0.0	26315.78947368421	80267.5585284281	81599.21350155662	73295.19096953765	380952.38095238095	142857.14285714284	166666.66666666666	114355.52840562003	114229.30475250317	133619.533136571	172757.47508305646	292522.2041829816	185191.54784401305	6037.952846463484	2051.691220471319	1048.951048951049	50000.0	0.0	0.0	12380.85879925322	5674.378000872981	0.0	59435.36404160475	88845.01480750246	82191.7808219178	59054.22731729391	63141.830667980794	58334.2108034116	172689.71575234356	178295.66194019376	195035.5945610004	2165.283291230602	2198.680791525085	2192.003247412218	64876.30017041782	90455.15652006914	97865.58286006514	89480.36144266369	15184.381778741865	57877.81350482315	61452.513966480445	43558.384989110404	36868.75243411658	42892.768079800495	77623.66041257685	83766.99681047507
