Length	SB_4N_1	SB_4N_2	SB_4N_3	CL_1	CL_2	CL_3	4N_1	4N_2	4N_3	4N_C3_1	4N_C3_2	4N_C3_3	4N_CL_1	4N_CL_2	4N_CL_3	SBN_1	SBN_2	SBN_3	SBN_CL_1	SBN_CL_2	SBN_CL_3	SB_1	SB_2	SB_3	SB_4	SB_5	SB_6	SB_4N_4	SB_4N_5	SB_4N_6	SBN_4	SBN_5	SBN_6	SBN_CL_4	SBN_CL_5	SBN_CL_6	4N_4	4N_5	4N_6	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_4	4N_CL_5	4N_CL_6	CL_4	CL_5	CL_6
0	211541	167422	179605	149607	121540	150423	241314	586348	364284	363342	381674	571476	136904	142124	85070	1027101	1203047	1129395	40495	31283	35668	19750	25674	60271	13424	10641	11006	215393	254116	186315	122509	134738	120325	38227	37898	68178	1330961	1122456	1080236	878214	991810	892002	441566	375100	405950	230298	179269	180204
1	1254	1060	1068	4612	3955	4498	873	1969	1982	3972	2553	3500	425	398	428	7051	8027	6845	38092	36214	37084	477	651	1656	1046	982	961	4723	6045	4550	2852	3309	2765	24119	24770	30240	8350	4396	3885	6792	7385	7021	13533	17251	14228	35945	30264	31083
2	164	741	109	4107	2878	3810	13	12	62	1729	205	15	132	367	183	716	912	713	3062	2947	2804	349	1127	1262	3274	2869	2966	20355	24026	20537	6307	6466	5868	5380	3137	4966	278	883	991	4300	5130	5684	6193	4807	5886	4931	4486	4935
3	426	1526	413	17695	13517	20264	24	9	31	1375	129	14	281	225	205	622	927	791	4722	4952	4668	516	2682	1669	8367	7526	8395	22360	26402	20878	21160	22056	19511	4958	4310	6476	4941	19678	21661	45133	52412	57962	5285	5823	5602	10260	10544	12471
4	698	1682	500	4037	2795	3527	19	8	22	1103	131	12	141	45	71	662	866	805	4828	4809	4872	484	2569	1520	13075	11900	13115	22068	25799	19486	25527	25001	22037	6159	7198	9662	476	1794	1783	3261	3797	3236	7097	9830	6617	214162	246704	285738
5	779	2330	603	2929	2256	2539	54	12	38	961	98	6	300	485	406	4395	7890	4918	4178	3835	4151	1181	30913	7551	158074	156793	201238	15028	18057	13684	155437	147084	147078	5409	6492	9546	2188	8756	8292	6016	5981	5645	3349	4076	3314	13129	14074	15114
6	1402	3438	1194	2584	1812	2391	154	7	61	836	121	20	457	1168	1530	724	860	768	15798	16829	15716	1982	5298	3361	14691	11978	13545	18151	22018	17064	29099	30691	26727	119522	122569	184988	519	1913	2048	2646	2952	2850	3608	4698	4077	9482	8885	8831
7	844	4027	650	3911	3108	3826	246	15	62	846	186	21	1267	1018	2337	871	1158	1113	7648	7950	10290	6198	9973	7272	26109	20346	24082	27447	34190	25743	31017	33197	31308	11365	14795	19280	677	2465	2522	3240	3551	3537	7071	8418	6791	10607	9227	10059
8	509	3860	405	4489	3515	4321	338	15	69	1061	265	23	1566	1641	2361	1308	2165	1809	7316	7282	8447	11295	16670	11143	49464	41558	49658	35068	43364	33948	46886	47327	45601	15133	18944	20689	803	2730	3031	4206	4429	4483	9185	14224	9300	16850	15930	14967
9	576	3316	356	4260	3235	3846	421	25	72	2332	553	29	2828	2233	3445	1289	1979	1756	9746	9809	11292	15673	20319	13026	43342	36375	43995	33860	40948	32454	40872	42804	40853	30512	34613	45329	931	2947	3170	4731	5056	5019	12827	19792	13476	19273	19893	18195
10	352	2962	266	3869	2846	3378	423	19	64	2486	728	30	3173	2103	4356	970	1605	1752	11031	11401	13637	17435	18192	13281	35468	28829	34599	28191	34624	28281	32282	35111	33137	30977	34892	42658	875	2857	3183	5616	5843	5844	15121	24505	16709	19574	20483	21104
11	403	2197	310	6806	5165	6686	519	19	81	3501	1028	38	6685	3940	6439	901	1329	1714	12807	12809	14559	18340	18149	13287	32352	25978	29565	29669	37509	29865	29501	32079	31014	27276	31149	32180	943	3181	3300	6087	6356	6547	20563	31542	21667	20410	23288	21309
12	372	1682	295	6430	4406	5009	590	24	105	5392	1182	56	8405	6551	7836	828	1382	1604	14986	15156	17320	19935	21962	15050	35576	28284	33771	27685	34224	27485	27950	31233	29277	25959	29557	28297	916	3130	3402	5813	5724	6100	30878	47636	32795	24575	26933	27763
13	393	1531	300	6779	5012	5390	711	33	104	1669	652	44	8557	7323	9718	802	1352	1491	17011	17104	19835	23724	26384	18253	29139	23025	26890	22578	28790	22785	23458	26445	24900	32257	36191	34001	904	2958	3283	5131	5037	5010	32545	50448	35179	23906	28551	28066
14	383	1109	265	6522	4623	4979	806	33	129	843	288	78	9105	6742	8897	848	1480	1550	18920	18642	21660	25403	23953	17244	29316	22825	27062	21201	26701	21342	23182	26693	24820	26811	30389	25825	962	3247	3400	4806	4605	4803	24848	40116	26589	18966	21807	20175
15	339	913	257	6947	5209	5817	871	45	144	288	111	70	10892	11081	11100	881	1468	1561	23938	23541	29421	21511	22009	15458	27919	22298	26214	18995	23856	18861	22722	25372	23901	27237	30273	26532	979	3171	3351	4378	4006	4261	25196	37933	24824	18185	20803	19467
16	298	715	206	8115	5251	6267	804	30	158	535	109	35	10421	7079	8798	586	1047	1166	21341	21122	25546	21558	20997	14183	25433	20606	24058	16311	20013	16289	17473	20404	18431	29123	33003	31575	873	2831	3085	3854	3559	3698	24227	37025	24418	15231	18358	18831
17	352	599	222	6195	3794	4442	776	42	153	306	70	26	8253	5437	7724	650	1019	1042	13725	13777	16891	22932	21335	14046	22870	18290	20975	14019	17363	13908	16216	18384	16977	23513	26075	22670	799	2519	2802	3272	2930	3102	21081	33139	21701	14582	16953	15974
