precursor	miRNA	A549_SC1	A549_SC2	A549_SC3	A549_SC4	A549_SC5	A549_SC6	BJ_SC1	BJ_SC2	BJ_SC3	BJ_SC4	BJ_SC5	BJ_SC6	HT29_SC1	HT29_SC2	HT29_SC3	HT29_SC4	HT29_SC5	HT29_SC6	HepG2_SC1	HepG2_SC2	HepG2_SC3	HepG2_SC4	HepG2_SC5	HepG2_SC6	Jurkat_SC1	Jurkat_SC2	Jurkat_SC3	Jurkat_SC4	Jurkat_SC5	Jurkat_SC6	KG1_SC1	KG1_SC2	KG1_SC3	KG1_SC4	KG1_SC5	KG1_SC6	REH_SC1	REH_SC2	REH_SC3	REH_SC4	REH_SC5	REH_SC6	THP-1_SC1	THP-1_SC2	THP-1_SC3	THP-1_SC4	THP-1_SC5	THP-1_SC6
hsa-let-7a-1	hsa-let-7a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.33378651967664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.69028867570205	0.0	0.0	0.0	0.0	0.0	385.07204056092155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.64657074914889	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-1	hsa-let-7a-5p	139909.41117262203	103135.19231334292	126534.06036402733	128547.08253307005	125894.55235869723	149500.71326676177	124636.43218787029	143077.86490977465	118738.52828299685	127059.6580413483	137232.57138208736	115740.74074074074	83901.39835663927	69886.23899213388	67172.36033442224	80797.1141386194	81227.19880444815	85147.75734004911	6376.195536663125	21895.68491954112	14869.888475836431	12566.691653071122	16161.706106275458	15016.597291743505	118794.7245130443	89670.08177460288	112952.53419147224	148740.35117482397	95043.6030466939	90019.56947162426	138817.93358583635	143824.14515003492	162689.63126882983	164486.08051803295	120048.72826608586	118443.70480890623	106634.73053892216	101937.88160339792	116025.6966750586	115150.39675216831	142233.3125389894	139928.1163208626	167519.203462611	243126.70596146997	207956.81969798045	233848.01977888698	84889.64346349744	256578.13970618325
hsa-let-7a-2	hsa-let-7a-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	316.13889035249485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.35101186322404	1279.7611112592315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-2	hsa-let-7a-5p	5124.216498147047	3261.540269738195	2027.4940480761845	1136.1484567316795	2409.8145173068497	1902.0446980504043	2800.818700851018	4285.339474681515	3203.737693976306	1950.6716517164432	3009.8430000813473	4629.62962962963	1350.022500375006	1128.2083424739103	2724.101655500803	2416.558680348825	1120.8298536328075	2327.1382575153816	262.03543301355313	698.7984548789718	929.368029739777	0.0	0.0	632.2777807049897	3321.2463498379484	4323.714634834101	2896.2188254223647	6489.100008482484	3808.3673694668287	5263.513057561238	5461.111600458029	7117.934403349617	2559.522222518463	3184.6288580451683	3100.8896600095977	1836.336508665213	3736.5269461077846	7963.897000265464	2604.3927424255576	1845.3589223103893	11228.945726762322	2940.6959647116482	5953.501103450636	6250.247240792752	4002.6684456304197	5737.743154359285	0.0	15468.347178458895
hsa-let-7a-3	hsa-let-7a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.33378651967664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	385.07204056092155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.64657074914889	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-3	hsa-let-7a-5p	3751.6585075719445	1234.096318279317	3502.0351739497733	811.5346119511997	1241.4195998247408	2187.3514027579645	2477.6473122912853	3060.956767629653	2803.270482229268	1507.3371854172515	1301.5537297649068	4629.62962962963	550.009166819447	1754.9907549594159	3322.0751896351258	2994.431408258327	1186.7610214935607	1338.9014632280278	0.0	698.7984548789718	929.368029739777	0.0	0.0	632.2777807049897	2839.9062991367964	3289.7828743302944	3861.625100563153	3944.354907116804	2483.7178496522797	3913.8943248532287	5284.946710120673	5861.828332170273	1599.7013890740395	3184.6288580451683	2657.9054228653695	1606.7944450820612	574.8502994011976	6371.11760021237	1823.0749196978907	369.07178446207786	3742.981908920774	2940.6959647116482	4721.742254460849	6408.481348154593	4548.486870034568	8676.587209031115	0.0	15959.40581904489
hsa-let-7b	hsa-let-7b-3p	0.0	0.0	0.0	0.0	0.0	0.0	215.44759237315523	0.0	0.0	177.33378651967664	0.0	0.0	0.0	0.0	465.09052654891764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	319.94027781480787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	237.35116104276275	0.0	0.0	0.0	0.0
hsa-let-7b	hsa-let-7b-5p	14823.6262982111	12517.262656833074	11427.693725520314	5518.435361268158	13217.467504016358	13980.028530670472	32640.31024453302	23962.91869515786	38044.38511596864	24383.395646455538	32864.2316765639	0.0	19200.320005333422	15669.56031213764	16411.051436797523	20225.545476832558	16482.791965188346	19509.707035608408	0.0	0.0	0.0	132.2809647691697	0.0	316.13889035249485	15258.479607226518	9681.36103017201	10619.469026548672	29519.04317584189	9106.965448725026	14845.80605978811	23077.600634193604	22819.26029309142	31674.08750366598	26750.882407579415	12846.54287718262	8493.056352576608	6179.640718562874	10618.529333687284	4167.028387880893	12917.512456172726	14971.927635683096	9067.145891194248	45061.844558876364	68357.13438031566	66044.02935290194	76270.00046648318	33955.85738539898	61136.80075295658
hsa-let-7c	hsa-let-7c-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7c	hsa-let-7c-5p	549.0231962300408	1322.2460552992682	1105.9058444051916	649.2276895609597	0.0	0.0	969.5141656791985	1224.3827070518612	800.9344234940766	443.3344662991916	244.04132433092005	0.0	50.000833347222446	188.0347237456517	66.4415037927025	630.4066122649109	0.0	414.42188147534193	0.0	0.0	0.0	0.0	0.0	0.0	240.67002535057597	0.0	0.0	0.0	0.0	0.0	1937.8137937109134	3977.6692254012564	1439.7312501666356	2547.703086436135	5537.302964302853	0.0	6179.640718562874	2123.705866737457	8464.276412883062	4428.861413544934	0.0	10047.377879431464	0.0	474.7023220855255	0.0	839.6697299062369	0.0	0.0
hsa-let-7d	hsa-let-7d-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	593.3805107467804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	818.2780861919583	0.0	2172.1641190667738	254.474510136568	0.0	539.847493083204	0.0	0.0	959.8208334444237	0.0	0.0	459.08412716630323	718.562874251497	0.0	0.0	1845.3589223103893	0.0	245.057997059304	307.9397122474467	237.35116104276275	181.93947480138272	139.9449549843728	0.0	1964.2345623439865
hsa-let-7d	hsa-let-7d-5p	1921.5811868051424	1939.2942144389267	1658.8587666077872	2109.989991073119	3359.135387761063	855.920114122682	2046.7521275449749	6209.369442905868	5005.840146837979	4344.677769732078	4880.826486618401	0.0	11350.189169819498	9151.023222288384	6710.5918830629535	9561.166952684483	12592.853061403895	6088.813797060793	0.0	0.0	1084.2627013630731	0.0	1469.2460096614054	2687.180567996206	16991.303789750662	13629.10047936836	4827.031375703942	17685.978454491476	16723.70018765868	22538.632836223765	18849.643266097068	13189.113747383115	23995.52083611059	22133.17056341392	23256.672450071983	14231.607942155399	28455.089820359284	20706.132200690205	21876.899036374685	23251.522421110905	22457.891453524644	17889.233785329194	15499.632183121483	21519.838601210486	17466.18958093274	16093.669823202872	3395.585738539898	19396.816303146865
hsa-let-7e	hsa-let-7e-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7e	hsa-let-7e-5p	22052.431715239967	13751.35897511239	27371.169649028492	25969.10758243839	30597.341901562726	31193.53304802663	5601.637401702036	10494.708917587383	13615.885199399301	10551.36029792076	19686.000162694218	0.0	11500.191669861162	10028.518599768091	9434.693538563757	12555.59836094281	15098.237440112523	9531.703273932864	2707.699474473382	9084.379913426636	1394.0520446096655	3307.024119229243	3606.3311146234496	2054.9027872912166	433.2060456310368	469.96898204718485	0.0	0.0	0.0	0.0	14445.521007663174	14445.219818562458	11997.760418055295	16241.607176030358	10410.129572889364	10099.85079765867	143.7125748502994	0.0	5990.103307578783	6643.292120317401	7485.963817841548	7596.7979088384245	4003.2162592168074	7041.4177776019615	5094.305294438716	4338.2936045155575	0.0	1718.7052420509883
hsa-let-7f-1	hsa-let-7f-1-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-1	hsa-let-7f-5p	0.0	528.8984221197073	2027.4940480761845	649.2276895609597	584.1974587410544	2187.3514027579645	969.5141656791985	1661.6622452846689	400.4672117470383	1950.6716517164432	1708.2892703164403	0.0	3250.0541675694594	2820.5208561847753	863.7395493051328	1155.7454558190034	2703.1778822908886	892.6009754853519	87.34514433785102	116.46640914649531	1703.8413878562578	0.0	0.0	158.06944517624743	3224.978339697718	1785.8821317793027	3378.921962992759	3053.694121638816	3642.78617949001	5128.551184290438	4051.7924777591825	3140.265177948361	4159.2236115925025	4458.480401263236	4651.334490014397	1377.2523814989097	4598.802395209581	1592.7794000530926	1562.6356454553347	5167.00498246909	3742.981908920774	2940.6959647116482	4413.802542213402	4193.2038450888085	3274.910546424889	6577.412884265522	0.0	1227.6466014649916
hsa-let-7f-2	hsa-let-7f-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7f-2	hsa-let-7f-5p	35320.49229079929	22830.781888167367	23316.18155287612	26780.642194389588	26142.836278662187	33761.293390394676	18851.664332651082	26936.419555140947	34239.94660437177	29703.40924204584	47994.79378508094	46296.29629629629	54450.90751512525	39926.039675326705	35811.97054426666	40346.0231849543	48723.13304909675	38573.113583474136	1310.1771650677656	3028.126637808878	7125.154894671623	9259.667533841879	6945.526591126643	6638.916697402392	97182.55623656258	92583.88946329542	107160.09654062749	125583.17075239631	111104.9784744453	110668.73608205683	78217.21130978595	88764.829030007	83824.35278747967	81685.73020885857	90811.76861456678	61976.35716745094	123736.52694610778	106185.29333687286	116937.23413490754	93006.08968444362	101060.5115408609	108315.63470021238	81809.31688707168	94228.41093397682	83510.21893383468	85926.2023604049	13582.342954159592	87899.49666489339
hsa-let-7g	hsa-let-7g-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7g	hsa-let-7g-5p	640.5270622683809	4495.636588017513	7464.864449735043	3895.3661373657583	5476.851175697386	5040.418449833571	2800.818700851018	3585.692213509022	4004.672117470382	4522.011556251754	5612.950459611161	0.0	3350.055834263904	3259.268544924629	4783.7882730745805	4517.914054565194	3692.145400202189	2837.1959577927255	0.0	1281.1305006114485	1084.2627013630731	529.1238590766789	801.4069143607667	4425.944464934928	12899.913358790873	19738.697245981766	15446.500402252612	12850.962761896684	15895.79423777459	27802.145893785004	14621.685898000529	10048.848569434753	17596.715279814434	18630.078819564238	13289.527114326847	8493.056352576608	7329.34131736527	13273.161667109107	11980.206615157565	4059.789629082856	7485.963817841548	6616.565920601209	11701.709065402974	12025.792159499977	15646.794832918913	10076.036758874841	6791.171477079796	15222.817858165896
