Length	A549_SC1	A549_SC2	A549_SC3	A549_SC4	A549_SC5	A549_SC6	BJ_SC1	BJ_SC2	BJ_SC3	BJ_SC4	BJ_SC5	BJ_SC6	HepG2_SC1	HepG2_SC2	HepG2_SC3	HepG2_SC4	HepG2_SC5	HepG2_SC6	HT29_SC1	HT29_SC2	HT29_SC3	HT29_SC4	HT29_SC5	HT29_SC6	Jurkat_SC1	Jurkat_SC2	Jurkat_SC3	Jurkat_SC4	Jurkat_SC5	Jurkat_SC6	KG1_SC1	KG1_SC2	KG1_SC3	KG1_SC4	KG1_SC5	KG1_SC6	REH_SC1	REH_SC2	REH_SC3	REH_SC4	REH_SC5	REH_SC6	THP-1_SC1	THP-1_SC2	THP-1_SC3	THP-1_SC4	THP-1_SC5	THP-1_SC6
0	76034	60436	36491	14424	38870	76924	53353	63751	49594	81284	86120	95288	86197	144360	101443	124089	162232	162324	109875	115373	120383	108774	68166	36913	39814	104485	93092	52499	47170	89315	96535	114293	112284	71514	12997	51772	106327	105063	51562	52275	6068	72724	29882	25394	22439	44228	90613	73255
1	86601	76123	82586	30972	64649	69592	27776	39248	25351	38222	43629	43299	56338	83221	54199	76269	87146	67278	62464	66441	58621	62105	45003	18649	64646	116997	97834	61153	60795	102887	60129	59421	66166	50643	12424	20570	101612	92478	43132	38270	4332	60061	41982	28955	30718	43718	86597	76340
2	9202	7056	4435	1925	5297	8670	3891	5149	4331	5936	6193	6552	5995	8648	8254	8458	10408	8202	8367	10440	8299	8644	6396	3070	5331	11324	10041	5957	5456	10123	7096	8276	8645	7009	1309	3683	6576	6038	3702	3677	731	5009	2496	1803	1617	3792	7836	6274
3	14132	10995	7631	3805	10805	14775	4953	7123	5474	7404	8379	8280	9121	11802	9730	10327	13676	10253	11660	14153	10846	11695	9073	4901	7551	17937	16199	9414	8544	16389	10517	11690	12600	8996	2452	5019	7620	6456	4984	4665	1914	5357	2885	2580	1741	4713	10385	9115
4	12833	9832	8077	3340	9303	12526	4459	6084	4765	6792	6818	7269	7760	9648	7494	7920	11057	7897	8936	9656	9013	9191	7585	4401	7825	13757	13544	8004	7516	14269	9997	10241	11734	8499	2592	5025	9159	8304	5580	5287	2084	7383	5179	4740	3390	8734	19296	17353
5	10080	8196	6881	2774	7517	9947	7231	6825	4277	6770	6641	4722	24168	7935	6989	7430	9511	7466	8764	9086	9422	9887	6893	4510	5783	11499	8395	5558	5616	9729	7592	7320	8476	6531	1531	3545	6443	4812	4513	4481	1613	4916	4036	3613	2221	5961	11152	9963
6	165252	152721	126457	64483	142737	157475	182055	153048	77249	149279	116884	11678	135090	69449	70752	81213	91396	87929	149401	118695	144305	150425	111928	90228	106532	118450	76875	68430	69044	68031	87789	48979	66423	58600	12412	39832	91159	64291	105827	72437	4939	49344	93720	136083	47271	102774	16769	73418
7	14092	11666	9046	6316	13338	13057	5043	5336	3675	5354	5687	5229	7042	7223	6459	6543	8468	7073	8318	8501	8023	9521	7153	5860	7978	14114	9190	5828	5805	9921	7241	6963	8589	7879	3800	4004	8434	8804	7901	7633	3462	10506	5679	4958	3740	8029	15654	12763
8	25107	21320	18802	13979	22828	14895	7537	8301	5638	7037	7848	6510	14050	12868	9595	9712	12323	9353	13540	12374	10904	13799	10142	8449	14249	24334	15481	9352	8994	14050	11505	9671	11593	11296	7052	5516	11940	13198	10331	11219	6762	18798	7527	6864	5453	10206	20005	16770
9	39974	33637	25273	24275	28454	29805	27013	24892	14035	24061	20014	8511	25935	17425	17291	16573	21136	18469	27613	25306	25503	28666	21554	19774	24313	40406	22963	16685	15636	20628	20174	15595	17486	17602	8296	9893	21232	20287	24420	21109	10715	21888	17522	22183	10138	20939	23831	25997
10	35802	31371	26156	34978	30730	28763	25684	22017	14861	22324	18963	8537	24630	18369	17503	18289	20950	18778	25988	24415	24076	28152	21473	19610	24189	31722	23936	15831	14884	19663	19637	15586	18029	17767	9831	10484	18217	19071	21915	21924	13629	18438	13047	15946	8594	15641	18274	20213
11	23910	20004	17571	34769	21034	22130	13808	12493	11040	13798	11632	8390	14225	12330	13537	12609	14728	11530	17034	16280	15478	17079	13141	12050	17155	23206	20144	12766	11055	16291	13827	12703	14834	14137	10094	7390	14672	16972	16153	20801	16290	15664	8861	9495	6314	9783	16925	15048
12	22908	20513	15571	38496	18837	19619	8431	8804	10438	10491	9970	10261	10318	12020	13728	11361	14580	10637	14833	15130	13385	15983	11874	12121	17108	21774	19670	13002	9906	17748	13618	13185	15916	16774	11413	8446	16550	19704	17042	23052	20929	19543	7823	8049	6221	8858	18782	16173
13	34844	29881	22332	38805	24742	29743	13182	14572	15090	16746	16103	16752	16564	20330	20446	19636	24119	15937	25396	23906	22241	24800	19856	17721	23807	36458	32634	20397	15980	29065	19979	20069	25854	24785	15097	11601	27602	33648	22456	29928	25234	28494	12030	12046	9154	13794	28966	26078
14	29706	26705	21075	32065	23609	25992	8701	11324	13988	13599	14027	15638	12633	16889	18881	16458	21462	13211	21205	18607	17200	20529	16683	13159	23351	33394	30775	18820	14899	27688	17482	17504	23608	21367	14723	9694	26154	32133	20342	28138	24536	24359	11188	10150	8527	11575	25548	23484
15	28754	24252	21650	29501	26172	27775	8453	11357	14218	13874	13437	16606	12576	16874	19176	16138	21679	13516	20974	19094	17705	21199	17605	15406	22405	29528	29352	16990	14329	25984	17793	17748	24208	24283	19110	10737	24941	30605	19279	27016	24575	23324	10324	9776	8379	11930	27647	25034
16	36699	33154	30522	34363	43474	49147	12734	15381	19523	21483	21474	27925	20350	27850	28409	27181	36777	22833	34726	29830	31428	39180	31700	29354	30107	35042	33522	22249	17888	33670	26943	29261	41257	46640	34088	24883	32485	37654	23036	32769	27237	31669	15015	13112	11530	20107	54834	41087
