Sample	r_processed	r_with_adapters	r_written	bp_processed	bp_written	adapt_3p	adapt_polya
18-043_SC1_S1_L001_R1_001	450415	426524	190129	34231540	6591762	0	238
18-043_SC10_S9_L001_R1_001	484673	456464	192348	36835148	6750860	0	225
18-043_SC11_S10_L001_R1_001	507490	480311	135591	38569240	5067071	0	458
18-043_SC12_S11_L001_R1_001	547163	541929	126230	41584388	3393798	0	82
18-043_SC14_S12_L001_R1_001	494264	461378	131404	37564064	5179742	0	519
18-043_SC15_S13_L001_R1_001	433930	405579	133659	32978680	5059264	0	530
18-043_SC16_S14_L001_R1_001	477420	450792	118216	36283920	4526383	0	548
18-043_SC18_S15_L001_R1_001	456901	429604	126132	34724476	4767235	0	551
18-043_SC19_S16_L001_R1_001	477261	443569	148833	36271836	5740840	0	520
18-043_SC2_S2_L001_R1_001	615048	577137	258059	46743648	9126761	0	304
18-043_SC20_S17_L001_R1_001	384706	358095	115787	29237656	4533349	0	434
18-043_SC21_S18_L001_R1_001	456290	427285	148055	34678040	5504546	0	414
18-043_SC22_S19_L001_R1_001	498506	469994	140910	37886456	5242048	0	551
18-043_SC23_S20_L001_R1_001	437464	417112	111808	33247264	3979507	0	363
18-043_SC3_S3_L001_R1_001	572372	549453	212380	43500272	7192321	0	287
18-043_SC4_S4_L001_R1_001	615927	584255	294734	46810452	9919880	0	258
18-043_SC6_S5_L001_R1_001	504721	481337	199595	38358796	6773660	0	218
18-043_SC7_S6_L001_R1_001	581041	550361	227167	44159116	7920738	0	337
18-043_SC8_S7_L001_R1_001	542855	511784	220870	41256980	7757218	0	340
18-043_SC9_S8_L001_R1_001	544926	524518	203696	41414376	6726794	0	304
19-020_SC2_S21_L001_R1_001	424197	396489	171245	32238972	6100011	0	201
19-020_SC6_S22_L001_R1_001	372832	354274	149663	28335232	5184919	0	131
19-032_SC1_S23_L001_R1_001	485060	461992	208165	36864560	7050431	0	208
19-032_SC10_S31_L001_R1_001	471034	440335	177905	35798584	6387862	0	409
19-032_SC11_S32_L001_R1_001	504833	483251	198698	38367308	6620438	0	174
19-032_SC12_S33_L001_R1_001	641983	595933	266776	48790708	9585839	0	425
19-032_SC13_S1_L001_R1_001	453898	412428	197500	34496248	7604397	0	205
19-032_SC14_S2_L001_R1_001	564495	516646	243937	42901620	9251487	0	212
19-032_SC15_S3_L001_R1_001	512315	464385	207969	38935940	7977783	0	239
19-032_SC16_S4_L001_R1_001	574867	509469	269774	43689892	10760776	0	207
19-032_SC17_S5_L001_R1_001	558341	522605	215793	42433916	7848160	0	182
19-032_SC19_S6_L001_R1_001	629708	561440	275072	47857808	10920948	0	259
19-032_SC2_S24_L001_R1_001	536913	515907	221464	40805388	7336806	0	443
19-032_SC20_S7_L001_R1_001	596632	539295	266660	45344032	10356497	0	215
19-032_SC21_S8_L001_R1_001	633145	560805	342296	48119020	13498508	0	521
19-032_SC22_S9_L001_R1_001	480498	438773	223603	36517848	8429246	0	175
19-032_SC24_S10_L001_R1_001	527998	491274	231890	40127848	8398107	0	146
19-032_SC25_S11_L001_R1_001	614325	540260	294071	46688700	11743700	0	432
19-032_SC26_S12_L001_R1_001	576214	520668	241167	43792264	9462132	0	206
19-032_SC27_S13_L001_R1_001	598815	566435	221146	45509940	7803342	0	475
19-032_SC28_S14_L001_R1_001	523429	494158	184163	39780604	6588184	0	269
19-032_SC29_S15_L001_R1_001	521089	494821	178675	39602764	6312354	0	308
19-032_SC3_S25_L001_R1_001	513333	488909	203239	39013308	6834498	0	344
19-032_SC30_S16_L001_R1_001	578835	537490	212494	43991460	7851393	0	292
19-032_SC31_S17_L001_R1_001	417815	396429	147565	31753940	5191995	0	221
19-032_SC4_S26_L001_R1_001	483497	458564	188798	36745772	6474209	0	434
19-032_SC5_S27_L001_R1_001	611610	586566	252646	46482360	8359002	0	785
19-032_SC6_S28_L001_R1_001	590822	563366	223473	44902472	7638490	0	564
19-032_SC7_S29_L001_R1_001	453786	431358	189177	34487736	6448552	0	223
19-032_SC9_S30_L001_R1_001	451476	431820	155661	34312176	5299845	0	338
19-135_SC1_S18_L001_R1_001	505072	474078	235861	38385472	8193577	0	209
19-135_SC2_S19_L001_R1_001	425515	399708	172224	32339140	6075116	0	261
19-135_SC4_S20_L001_R1_001	437021	412335	167043	33213596	5891291	0	220
19-231_SC10_S28_L001_R1_001	410928	390749	125400	31230528	4480461	0	357
19-231_SC11_S29_L001_R1_001	613604	576923	205899	46633904	7509785	0	355
19-231_SC12_S30_L001_R1_001	538369	509244	157020	40916044	5744978	0	236
19-231_SC13_S31_L001_R1_001	669672	629753	229906	50895072	8429897	0	370
19-231_SC2_S24_L001_R1_001	461077	445390	187822	35041852	6166399	0	129
19-231_SC3_S25_L001_R1_001	631703	610895	216838	48009428	7121648	0	307
19-231_SC6_S26_L001_R1_001	503002	479548	141014	38228152	4996976	0	237
19-231_SC9_S27_L001_R1_001	486190	459896	128373	36950440	4643735	0	374
19-295_SC1_S32_L001_R1_001	696824	665627	280504	52958624	9456356	0	312
19-295_SC3_S33_L001_R1_001	455176	436536	155711	34593376	5255481	0	135
19-295_SC4_S34_L001_R1_001	639660	607373	214386	48614160	7543466	0	232
19-295_SC5_S35_L001_R1_001	650541	608330	220614	49441116	8101663	0	391
19-315_SC1_S21_L001_R1_001	438760	408262	211294	33345760	7477348	0	303
19-315_SC3_S22_L001_R1_001	450749	434153	127198	34256924	4396739	0	328
negative_S23_L001_R1_001	465050	436713	152098	35343800	5471313	0	296
negative_S34_L001_R1_001	448949	427557	171003	34120124	5760645	0	439
