miRNA	18-043_SC10_S9_L001_R1_001	18-043_SC11_S10_L001_R1_001	18-043_SC12_S11_L001_R1_001	18-043_SC14_S12_L001_R1_001	18-043_SC15_S13_L001_R1_001	18-043_SC16_S14_L001_R1_001	18-043_SC18_S15_L001_R1_001	18-043_SC19_S16_L001_R1_001	18-043_SC1_S1_L001_R1_001	18-043_SC20_S17_L001_R1_001	18-043_SC21_S18_L001_R1_001	18-043_SC22_S19_L001_R1_001	18-043_SC23_S20_L001_R1_001	18-043_SC2_S2_L001_R1_001	18-043_SC3_S3_L001_R1_001	18-043_SC4_S4_L001_R1_001	18-043_SC6_S5_L001_R1_001	18-043_SC7_S6_L001_R1_001	18-043_SC8_S7_L001_R1_001	18-043_SC9_S8_L001_R1_001	19-020_SC2_S21_L001_R1_001	19-020_SC6_S22_L001_R1_001	19-032_SC10_S31_L001_R1_001	19-032_SC11_S32_L001_R1_001	19-032_SC12_S33_L001_R1_001	19-032_SC13_S1_L001_R1_001	19-032_SC14_S2_L001_R1_001	19-032_SC15_S3_L001_R1_001	19-032_SC16_S4_L001_R1_001	19-032_SC17_S5_L001_R1_001	19-032_SC19_S6_L001_R1_001	19-032_SC1_S23_L001_R1_001	19-032_SC20_S7_L001_R1_001	19-032_SC21_S8_L001_R1_001	19-032_SC22_S9_L001_R1_001	19-032_SC24_S10_L001_R1_001	19-032_SC25_S11_L001_R1_001	19-032_SC26_S12_L001_R1_001	19-032_SC27_S13_L001_R1_001	19-032_SC28_S14_L001_R1_001	19-032_SC29_S15_L001_R1_001	19-032_SC2_S24_L001_R1_001	19-032_SC30_S16_L001_R1_001	19-032_SC31_S17_L001_R1_001	19-032_SC3_S25_L001_R1_001	19-032_SC4_S26_L001_R1_001	19-032_SC5_S27_L001_R1_001	19-032_SC6_S28_L001_R1_001	19-032_SC7_S29_L001_R1_001	19-032_SC9_S30_L001_R1_001	19-135_SC1_S18_L001_R1_001	19-135_SC2_S19_L001_R1_001	19-135_SC4_S20_L001_R1_001	19-231_SC10_S28_L001_R1_001	19-231_SC11_S29_L001_R1_001	19-231_SC12_S30_L001_R1_001	19-231_SC13_S31_L001_R1_001	19-231_SC2_S24_L001_R1_001	19-231_SC3_S25_L001_R1_001	19-231_SC6_S26_L001_R1_001	19-231_SC9_S27_L001_R1_001	19-295_SC1_S32_L001_R1_001	19-295_SC3_S33_L001_R1_001	19-295_SC4_S34_L001_R1_001	19-295_SC5_S35_L001_R1_001	19-315_SC1_S21_L001_R1_001	19-315_SC3_S22_L001_R1_001	negative_S23_L001_R1_001	negative_S34_L001_R1_001
hsa-let-7a-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-5p	189.0	106.33333333333333	31.0	16.0	2.0	3.0	17.0	1.0	185.0	8.0	1.0	0.0	16.0	168.0	85.0	50.0	83.0	136.0	138.0	126.0	152.0	22.0	148.0	37.0	395.3333333333333	56.0	523.3333333333334	40.0	109.0	125.33333333333333	626.3333333333334	574.6666666666666	43.0	368.0	52.0	114.0	116.0	27.0	13.0	1.0	54.0	157.0	14.333333333333334	6.0	591.3333333333334	57.0	701.0	132.66666666666666	454.6666666666667	26.0	321.3333333333333	211.33333333333334	204.0	210.0	96.0	200.0	214.0	6.0	62.333333333333336	174.0	447.3333333333333	29.0	89.0	190.33333333333334	158.33333333333334	3.0	0.0	1.0	0.0
hsa-let-7b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7b-5p	33.0	9.0	11.0	20.0	8.0	0.0	21.0	0.0	36.0	0.0	0.0	0.0	0.0	21.0	23.0	16.0	27.0	13.0	39.0	39.0	15.0	3.0	0.0	0.0	164.0	21.0	266.0	26.0	50.0	35.0	395.0	320.0	3.0	170.0	14.0	41.0	28.0	20.0	23.0	0.0	38.0	95.0	1.0	0.0	232.0	0.0	153.0	48.0	195.0	11.0	155.0	168.0	75.0	33.0	41.0	40.0	75.0	3.0	25.0	41.0	188.0	5.0	27.0	24.0	38.0	0.0	0.0	0.0	1.0
hsa-let-7c-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7c-5p	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	1.0	20.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	5.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0
hsa-let-7d-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	4.0	0.0	0.0	7.0	0.0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7d-5p	18.0	28.0	1.0	12.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	17.0	1.0	0.0	28.0	0.0	5.0	21.0	41.0	0.0	4.0	8.0	12.0	2.0	18.0	13.0	44.0	25.0	42.0	66.0	5.0	50.0	8.0	27.0	18.0	6.0	0.0	0.0	9.0	15.0	0.0	0.0	12.0	0.0	99.0	17.0	60.0	4.0	11.0	26.0	45.0	49.0	33.0	14.0	15.0	0.0	8.0	46.0	46.0	9.0	22.0	23.0	10.0	0.0	0.0	0.0	0.0
hsa-let-7e-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
