"Sample"	"coding_exons"	"GtRNAdb"	"intergenic"	"lncRNA"	"miRNA"	"miRNA_primary_transcript"	"misc_RNA_ensembl"	"Mt_rRNA_ensembl"	"Mt_tRNA_ensembl"	"piRBase"	"protein_coding_gene"	"ribozyme_ensembl"	"rRNA_ensembl"	"scaRNA_ensembl"	"scRNA_ensembl"	"snoRNA_ensembl"	"snRNA_ensembl"	"sRNA_ensembl"
"18-043_SC1_S1_L001_R1_001"	2.90065952836605	8.13576478403214	27.2257105350562	15.801793537571	2.27750802663419	0	0.368513451531782	0.118620209720531	0.412798329827447	0.890442374302118	28.7883340977747	0.0237240419441062	3.52697423569045	0.0363768643142961	0	9.41844465181014	0.074335331424866	0
"18-043_SC10_S9_L001_R1_001"	2.33275100195252	6.74868241408165	22.614031739507	18.1129527137132	2.72178751266204	0	0.262783152516993	0.114508859756008	0.48886474741988	1.26987389344804	25.5839217816404	0.0557863675734398	3.70832538132918	0.0792753644464671	0	15.7846058986743	0.121849171278829	0
"18-043_SC11_S10_L001_R1_001"	2.61315747712165	3.83333627210692	27.4328637173135	16.3824872604165	1.60280711653413	0	0.12342849082221	0.056424452947296	0.257436566572038	0.724701567541833	31.2468040837198	0.028212226473648	7.88179077107541	0.015869377391427	0	7.72662352547035	0.0740570944933261	0
"18-043_SC12_S11_L001_R1_001"	2.9884242853768	3.41070163004961	20.1630049610206	36.351287502953	1.03945192534845	0	0.0649657453342783	0.0531537916371368	0.0561067800614222	13.3032128514056	20.8067564375148	0.0265768958185684	1.10146468225845	0	0	0.617174580675644	0.0177179305457123	0
"18-043_SC14_S12_L001_R1_001"	2.4073665075347	2.97990180255177	30.0351675982399	21.8090076621192	0.414535940605834	0	0.142709094306926	0.00509675336810452	0.0152902601043136	0.431525118499516	29.0514941981958	0.00169891778936817	8.40114846842561	0.00339783557873634	0	4.29486417152274	0.00679567115747269	0
"18-043_SC15_S13_L001_R1_001"	1.94628698579013	1.01539284859239	27.587420958497	36.8555212866337	0.404185502837748	0.0225329897052403	0.0746405283986086	0.0253496134183954	0.0239413015618178	3.98129761854465	20.7021842916896	0	7.06972552001915	0	0	0.264762629036574	0.0267579252749729	0
"18-043_SC16_S14_L001_R1_001"	2.68756998880179	1.0425918060007	35.5407962312237	13.926323512376	0.206587635633471	0	0.0559910414333707	0	0	0.59466347453373	35.446190678457	0.00579217670000386	10.3950264509403	0	0	0.0714368459667143	0.0270301579333514	0
"18-043_SC18_S15_L001_R1_001"	2.25891504759055	2.24582530807637	32.8963853619313	17.9179834321297	0.762944817398134	0	0.151466985806982	0.0448791069057726	0.0486190324812536	0.697496119827215	32.2175888699815	0.0186996278774052	9.23013632028723	0	0	1.46792078837631	0.0411391813302915	0
"18-043_SC19_S16_L001_R1_001"	2.68997668997669	2.29059829059829	33.7156177156177	16.040404040404	0.456876456876457	0.0233100233100233	0.127428127428127	0.00155400155400155	0.00155400155400155	0.738150738150738	36.2222222222222	0.00155400155400155	7.28826728826729	0	0	0.315462315462315	0.087024087024087	0
"18-043_SC2_S2_L001_R1_001"	2.56619659987577	4.03275897766224	26.0956083645817	18.0174377142331	1.96116772872622	0.0161034300305965	0.142630380270998	0.051761025098346	0.217396305413053	1.03407025696473	28.0303204582576	0.0299063700568221	3.05620097080678	0.0241551450458948	0	14.7001311279303	0.0241551450458948	0
