Sample	coding_exons	GtRNAdb	intergenic	lncRNA	miRNA	miRNA_primary_transcript	misc_RNA_ensembl	Mt_rRNA_ensembl	Mt_tRNA_ensembl	piRBase	protein_coding_gene	ribozyme_ensembl	rRNA_ensembl	scaRNA_ensembl	scRNA_ensembl	snoRNA_ensembl	snRNA_ensembl	sRNA_ensembl	unmapped_reads
18-043_SC1_S1_L001_R1_001	1834	5144	17214	9991	1440	0	233	75	261	563	18202	15	2230	23	0	5955	47	0	126902
18-043_SC10_S9_L001_R1_001	1589	4597	15404	12338	1854	0	179	78	333	865	17427	38	2526	54	0	10752	83	0	124231
18-043_SC11_S10_L001_R1_001	1482	2174	15558	9291	909	0	70	32	146	411	17721	16	4470	9	0	4382	42	0	78878
18-043_SC12_S11_L001_R1_001	1012	1155	6828	12310	352	0	22	18	19	4505	7046	9	373	0	0	209	6	0	92366
18-043_SC14_S12_L001_R1_001	1417	1754	17679	12837	244	0	84	3	9	254	17100	1	4945	2	0	2528	4	0	72543
18-043_SC15_S13_L001_R1_001	1382	721	19589	26170	287	16	53	18	17	2827	14700	0	5020	0	0	188	19	0	62652
18-043_SC16_S14_L001_R1_001	1392	540	18408	7213	107	0	29	0	0	308	18359	3	5384	0	0	37	14	0	66422
18-043_SC18_S15_L001_R1_001	1208	1201	17592	9582	408	0	81	24	26	373	17229	10	4936	0	0	785	22	0	72655
18-043_SC19_S16_L001_R1_001	1731	1474	21696	10322	294	15	82	1	1	475	23309	1	4690	0	0	203	56	0	84483
18-043_SC2_S2_L001_R1_001	2231	3506	22687	15664	1705	14	124	45	189	899	24369	26	2657	21	0	12780	21	0	171121
18-043_SC20_S17_L001_R1_001	1405	5753	15414	9727	166	2	124	39	22	343	15011	15	4976	0	0	1079	1	0	61710
18-043_SC21_S18_L001_R1_001	1615	727	20430	9409	38	0	35	13	2	265	19445	0	4629	0	0	41	0	0	91406
18-043_SC22_S19_L001_R1_001	1716	956	19353	12238	112	0	36	2	22	237	16716	0	5477	3	0	106	0	0	83936
18-043_SC23_S20_L001_R1_001	1065	912	14533	6945	83	0	12	1	2	152	13559	0	3709	0	0	62	4	0	70769
18-043_SC3_S3_L001_R1_001	1934	1705	22887	9562	424	0	52	21	35	475	22252	5	2307	1	0	477	16	0	150227
18-043_SC4_S4_L001_R1_001	2413	7092	21361	14859	916	0	249	92	153	940	22737	15	2965	25	0	8457	66	2	212392
18-043_SC6_S5_L001_R1_001	1812	3997	19260	10331	843	5	130	80	122	729	18728	2	2090	4	0	6326	51	0	135085
18-043_SC7_S6_L001_R1_001	2033	6223	20931	12013	1147	0	178	49	185	680	21572	19	2989	12	0	7573	55	0	151508
18-043_SC8_S7_L001_R1_001	2058	3828	21477	12068	863	0	103	46	244	720	22722	10	2425	12	0	6987	20	0	147287
18-043_SC9_S8_L001_R1_001	1835	3980	18815	9404	1140	12	63	36	121	720	19897	14	2283	8	0	2736	39	0	142593
19-020_SC2_S21_L001_R1_001	1801	2015	17904	10008	1092	0	30	59	194	305	19484	5	5088	0	0	2767	28	0	110465
19-020_SC6_S22_L001_R1_001	1378	2422	16581	7456	264	2	82	13	23	307	15966	0	3277	0	0	114	14	1	101763
19-032_SC1_S23_L001_R1_001	2456	14988	20300	10505	7032	6	1232	141	1236	1224	19581	2	2926	1	0	10	33	0	126492
19-032_SC10_S31_L001_R1_001	1528	1423	18334	11135	759	8	54	13	110	368	20275	9	2724	16	0	5401	39	0	115709
19-032_SC11_S32_L001_R1_001	1625	1386	20311	9331	218	0	38	14	73	380	20470	0	2725	0	0	52	1	0	142074
19-032_SC12_S33_L001_R1_001	2513	2405	30786	18912	4382	15	85	228	1538	664	27442	0	4754	26	0	4471	148	0	168407
19-032_SC13_S1_L001_R1_001	2361	1279	23601	10890	629	1	37	319	1439	447	24469	2	6741	130	0	2036	59	0	123060
19-032_SC14_S2_L001_R1_001	2949	2090	27508	14261	5562	0	289	182	1953	1013	28198	35	9023	63	0	1287	343	0	149181
19-032_SC15_S3_L001_R1_001	2456	1135	23510	16351	749	1	97	632	5065	951	22142	4	4804	189	0	4719	103	0	125061
19-032_SC16_S4_L001_R1_001	3241	5355	28220	18666	1182	0	318	133	385	920	30416	27	9256	44	0	14076	88	0	157447
19-032_SC17_S5_L001_R1_001	2666	5292	24381	12417	1897	0	518	18	47	880	24613	0	7958	0	0	102	8	0	134996
19-032_SC19_S6_L001_R1_001	3063	2797	29409	19469	8729	9	239	212	2563	1012	30777	98	11228	138	0	11612	481	0	153236
19-032_SC2_S24_L001_R1_001	2049	9815	22234	8720	2289	3	423	26	452	439	21417	0	3246	0	0	22	3	0	150326
19-032_SC20_S7_L001_R1_001	3380	1710	30045	14903	631	3	169	338	3599	605	33369	4	8038	140	0	4900	74	0	164752
19-032_SC21_S8_L001_R1_001	6370	32749	36833	19057	4530	1	1356	320	7642	1962	38670	1	10341	2	0	369	106	0	181987
19-032_SC22_S9_L001_R1_001	2570	2283	25117	11727	609	0	159	79	796	475	27157	100	5198	73	0	2752	134	0	144374
19-032_SC24_S10_L001_R1_001	2658	2326	25791	11584	1369	0	234	22	374	443	27623	0	6363	10	0	215	15	0	152863
19-032_SC25_S11_L001_R1_001	3835	2226	43259	17478	1075	3	553	53	199	1014	39701	20	6422	12	0	271	56	0	177894
19-032_SC26_S12_L001_R1_001	3001	3518	26804	15274	587	6	340	65	174	513	28704	6	9738	52	0	9494	37	1	142853
19-032_SC27_S13_L001_R1_001	2355	2041	26074	10549	296	0	204	176	3021	425	23903	0	7464	0	0	58	1	0	144579
19-032_SC28_S14_L001_R1_001	2018	753	22025	10370	49	0	87	5	1	430	22496	0	6351	0	0	8	31	0	119539
19-032_SC29_S15_L001_R1_001	2058	5247	19394	9021	1013	6	310	19	339	491	21110	0	6382	0	0	19	17	0	113249
19-032_SC3_S25_L001_R1_001	1723	12811	20201	9197	5944	12	175	63	623	538	20221	4	2997	20	0	1147	64	0	127499
19-032_SC30_S16_L001_R1_001	2502	1048	25288	11385	147	0	99	18	8	346	28577	0	4568	0	0	17	6	0	138485
19-032_SC31_S17_L001_R1_001	1601	669	16563	7605	67	4	55	0	9	213	17302	0	4476	0	0	10	0	0	98991
19-032_SC4_S26_L001_R1_001	1896	1426	20456	9017	321	0	96	99	1033	414	21115	0	2632	0	0	65	11	0	130217
19-032_SC5_S27_L001_R1_001	2532	26899	21739	12626	9371	6	555	89	2778	1411	21435	0	3583	2	0	170	28	0	149422
19-032_SC6_S28_L001_R1_001	2094	12976	22773	9842	1440	6	1932	40	372	540	23687	0	3002	0	0	57	16	0	144696
19-032_SC7_S29_L001_R1_001	1851	22531	18232	8753	5765	0	1891	81	937	910	17337	2	3281	3	0	117	16	0	107470
19-032_SC9_S30_L001_R1_001	1508	3135	16322	6809	196	0	168	12	138	304	17398	0	2762	0	0	43	4	0	106862
19-135_SC1_S18_L001_R1_001	2508	16158	22557	12973	4425	4	96	54	435	441	23546	59	4285	18	0	1645	96	0	146561
19-135_SC2_S19_L001_R1_001	1726	3552	18246	11215	2827	0	95	14	296	328	17648	11	4357	0	1	966	46	0	110896
19-135_SC4_S20_L001_R1_001	1731	3925	17216	10168	2461	9	102	38	474	567	18736	6	4123	17	0	1271	164	0	106035
19-231_SC10_S28_L001_R1_001	1418	2867	13142	7107	4517	5	322	39	180	479	14795	0	9863	6	0	369	56	0	70235
19-231_SC11_S29_L001_R1_001	3227	1111	15299	65028	2427	132	700	35	2034	6329	15990	5	17018	13	0	3561	55	0	72935
19-231_SC12_S30_L001_R1_001	1939	2615	15777	11174	1638	1	80	63	186	472	17552	4	14923	2	0	3499	118	0	86977
19-231_SC13_S31_L001_R1_001	2553	3785	25012	14909	3004	16	369	56	159	1037	26594	9	13401	0	1	3426	46	0	135529
19-231_SC2_S24_L001_R1_001	1887	777	17531	6090	171	2	68	9	6	136	20336	0	7376	0	0	1	0	0	133432
19-231_SC3_S25_L001_R1_001	2276	1028	20014	8860	712	0	190	6	17	355	22767	21	11944	0	0	75	46	0	148527
19-231_SC6_S26_L001_R1_001	1687	2126	14237	8617	1724	1	145	57	192	441	16047	0	11127	5	0	2380	34	0	82194
19-231_SC9_S27_L001_R1_001	1676	2925	12579	7660	7582	0	241	26	191	450	15960	7	13955	1	0	1230	66	0	63824
19-295_SC1_S32_L001_R1_001	2840	2027	26647	10556	193	2	193	11	13	230	32083	0	12793	0	0	8	9	0	192899
19-295_SC3_S33_L001_R1_001	1745	1062	13749	8161	919	2	52	140	261	318	15784	14	10273	0	0	2123	48	0	101060
19-295_SC4_S34_L001_R1_001	2423	2105	21142	13738	1941	3	99	621	692	699	21925	0	14878	0	0	3577	67	0	130476
19-295_SC5_S35_L001_R1_001	2705	1962	22526	13820	1416	14	88	244	419	783	26736	5	15827	6	0	3417	50	0	130596
19-315_SC1_S21_L001_R1_001	2059	1501	22680	12377	95	0	42	18	2	342	24677	0	3466	11	0	1851	6	0	142167
19-315_SC3_S22_L001_R1_001	1663	1047	15174	6066	84	0	3	5	29	202	15340	0	4152	0	0	6	3	0	83424
negative_S23_L001_R1_001	1740	573	16792	9029	46	0	16	14	13	261	19221	0	5373	1	0	5	2	0	99012
negative_S34_L001_R1_001	1743	497	18630	7733	40	1	3	2	1	280	18742	0	2403	0	0	2	0	0	120926
