Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	adapt_3p	adapt_polya
SB_4N_1	231975	227435	10890	17630100	31268	511843	5	838
SB_4N_2	211019	206741	9909	16037444	35607	466646	5	151
SB_4N_3	194789	191344	7765	14803964	26553	378943	3	142
CL_1	300000	287210	126048	22800000	88988	4345951	29	103
CL_2	294118	286665	99201	22352968	83801	3272504	8	71
CL_3	300000	292958	94000	22800000	106157	3092955	2	97
4N_1	266601	262798	17645	20261676	344433	665600	0	142
4N_2	300000	298449	1827	22800000	9834	119748	3	29
4N_3	300000	294179	7692	22800000	22185	472109	1	82
4N_C3_1	300000	291471	12333	22800000	57952	646356	9	28160
4N_C3_2	300000	290565	10276	22800000	29611	613531	4	5643
4N_C3_3	300000	298676	1507	22800000	14782	87445	3	14
4N_CL_1	300000	288968	111222	22800000	139364	3422638	14	343
4N_CL_2	298987	287615	99027	22723012	159571	3226709	26	693
4N_CL_3	270753	264281	109849	20577228	131291	3295647	228693	262
SBN_1	300000	297765	5417	22800000	4532	239027	2	5
SBN_2	300000	297721	6654	22800000	4445	280622	7	2
SBN_3	300000	297925	6068	22800000	4263	251250	8	1
SBN_CL_1	300000	261324	170395	22800000	12295	6585810	6	166
SBN_CL_2	300000	268033	161866	22800000	13128	6039866	14	134
SBN_CL_3	300000	260576	173905	22800000	12133	6734058	1	184
SB_1	300000	271419	209605	22800000	7836	7185067	12	84
SB_2	300000	264931	203078	22800000	13574	7385901	13	106
SB_3	300000	278262	178075	22800000	14592	6035652	218848	97
SB_4	300000	286998	95406	22800000	14237	3064619	12	67
SB_5	300000	285787	96158	22800000	12618	3194176	6	64
SB_6	300000	280280	97003	22800000	12017	3397525	10	71
SB_4N_4	300000	289913	52397	22800000	38381	1812850	9	62
SB_4N_5	300000	284810	58579	22800000	36011	2207834	16	48
SB_4N_6	300000	290541	54047	22800000	44711	1817389	9	49
SBN_4	300000	286830	68094	22800000	22111	2362408	1	56
SBN_5	300000	278353	80474	22800000	19180	3032722	23	69
SBN_6	300000	286495	71702	22800000	21004	2466926	56	68
SBN_CL_4	300000	283812	110120	22800000	16217	3688798	13	82
SBN_CL_5	300000	276303	112532	22800000	16007	4026971	16	96
SBN_CL_6	300000	274345	96353	22800000	19554	3675560	49	98
4N_4	300000	294735	6525	22800000	70438	410862	18	20
4N_5	300000	291154	13382	22800000	287063	752035	8	30
4N_6	300000	288197	16963	22800000	326226	981217	6	44
4N_C3_4	300000	294031	12822	22800000	10434	548022	14	24
4N_C3_5	300000	298009	7174	22800000	11623	253725	2	21
4N_C3_6	300000	294836	10964	22800000	8807	467728	4	20
4N_CL_4	300000	287918	72880	22800000	132616	2440638	15	55
4N_CL_5	300000	286063	91999	22800000	109672	3006368	13	95
4N_CL_6	300000	282511	79012	22800000	126736	2802210	16	69
CL_4	300000	284429	56705	22800000	8366	2179488	42	38
CL_5	300000	285392	67720	22800000	8380	2486495	32	32
CL_6	300000	284968	74238	22800000	8188	2783910	259634	37
