precursor	miRNA	4N_1	4N_2	4N_3	4N_4	4N_5	4N_6	4N_C3_1	4N_C3_2	4N_C3_3	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_1	4N_CL_2	4N_CL_3	4N_CL_4	4N_CL_5	4N_CL_6	CL_1	CL_2	CL_3	CL_4	CL_5	CL_6	SBN_1	SBN_2	SBN_3	SBN_4	SBN_5	SBN_6	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_CL_4	SBN_CL_5	SBN_CL_6	SB_1	SB_2	SB_3	SB_4	SB_4N_1	SB_4N_2	SB_4N_3	SB_4N_4	SB_4N_5	SB_4N_6	SB_5	SB_6
hsa-let-7a-1	hsa-let-7a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-1	hsa-let-7a-5p	1841.6206261510129	0.0	0.0	74626.86567164179	53215.07760532151	79395.08506616256	153846.15384615384	200000.0	0.0	76769.29228308676	109913.79310344826	94081.94233687405	77294.68599033816	60739.184414096075	71121.80037794194	170844.93964716807	176139.91255465333	139008.62068965516	0.0	23121.387283236993	60000.0	54449.648711943795	49265.34140017286	45506.780050563095	134831.4606741573	48338.36858006042	53571.428571428565	67285.90847304034	48972.18863361548	65854.39532776155	150827.8193533474	142355.460385439	145539.49987020853	107519.13552453849	100046.83840749413	102826.4483949354	91412.11248389297	89947.73307402455	78581.50312311102	62920.373182903015	17353.57917570499	45016.07717041801	33519.5530726257	53405.25960890088	37420.38216560509	51860.20293122886	58695.65217391304	65201.52461276457
hsa-let-7a-2	hsa-let-7a-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1534.7231103721701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-2	hsa-let-7a-5p	1841.6206261510129	0.0	0.0	74626.86567164179	53215.07760532151	79395.08506616256	153846.15384615384	200000.0	0.0	76769.29228308676	106681.03448275861	94081.94233687405	77294.68599033816	60452.67882723713	71121.80037794194	928.5051067780873	3747.6577139287947	0.0	0.0	23121.387283236993	60000.0	0.0	7778.738115816767	1378.9933348655484	134831.4606741573	48338.36858006042	53571.428571428565	66606.25283189851	47762.998790810154	64646.0577988118	151174.5499725505	142526.76659528905	144501.16812321538	4862.6744709590275	1686.1826697892272	3069.4462207443403	89592.96596680056	89218.42713018111	77070.32037074349	62920.373182903015	17353.57917570499	45016.07717041801	33519.5530726257	53405.25960890088	37420.38216560509	51860.20293122886	57763.97515527949	63255.21044521935
hsa-let-7a-3	hsa-let-7a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7a-3	hsa-let-7a-5p	1841.6206261510129	0.0	0.0	74626.86567164179	53215.07760532151	79395.08506616256	153846.15384615384	200000.0	0.0	79168.33266693323	106681.03448275861	94081.94233687405	77294.68599033816	60452.67882723713	71121.80037794194	928.5051067780873	1249.2192379762648	0.0	0.0	23121.387283236993	60000.0	0.0	2592.9127052722556	1378.9933348655484	134831.4606741573	48338.36858006042	53571.428571428565	66606.25283189851	48367.593712212816	64646.0577988118	150827.8193533474	143211.99143468952	144501.16812321538	2701.48581719946	1124.1217798594848	3069.4462207443403	89592.96596680056	89218.42713018111	77070.32037074349	62920.373182903015	17353.57917570499	45016.07717041801	33519.5530726257	53405.25960890088	37420.38216560509	51860.20293122886	57763.97515527949	63255.21044521935
hsa-let-7b	hsa-let-7b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7b	hsa-let-7b-5p	0.0	0.0	0.0	14925.373134328358	17738.359201773837	37807.18336483932	0.0	0.0	0.0	9596.161535385845	9698.275862068964	24279.21092564492	52287.5816993464	30942.603380765926	70434.63322453186	43639.7400185701	39350.405996252346	32327.586206896547	34482.75862068965	0.0	0.0	10538.64168618267	29818.496110630942	34474.8333716387	0.0	6042.296072507553	17857.142857142855	8835.52333484368	7859.7339782345825	5437.51888027389	17509.896269756424	20385.43897216274	26477.45954832569	8104.4574515983795	10117.096018735363	13812.507993349533	7731.372697642689	14343.0168955877	11182.752367519644	6075.070514211326	8676.789587852494	0.0	5586.59217877095	17801.75320296696	8757.96178343949	10522.360015031942	9782.608695652172	8271.835212067146
hsa-let-7c	hsa-let-7c-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-let-7c	hsa-let-7c-5p	0.0	0.0	0.0	44776.119402985074	0.0	3780.718336483932	0.0	0.0	0.0	0.0	3232.758620689655	0.0	0.0	0.0	0.0	0.0	3123.048094940662	3232.758620689655	0.0	0.0	20000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1208.3375289497533	1040.1918576092926	2912.20556745182	1211.3870381586917	0.0	1124.1217798594848	2302.0846655582554	454.7866292730993	486.2039625622949	0.0	2603.601648947711	0.0	0.0	0.0	809.1706001348618	796.1783439490446	0.0	3260.8695652173906	973.1570837726055
