Length	SB_4N_1	SB_4N_2	SB_4N_3	CL_1	CL_2	CL_3	4N_1	4N_2	4N_3	4N_C3_1	4N_C3_2	4N_C3_3	4N_CL_1	4N_CL_2	4N_CL_3	SBN_1	SBN_2	SBN_3	SBN_CL_1	SBN_CL_2	SBN_CL_3	SB_1	SB_2	SB_3	SB_4	SB_5	SB_6	SB_4N_4	SB_4N_5	SB_4N_6	SBN_4	SBN_5	SBN_6	SBN_CL_4	SBN_CL_5	SBN_CL_6	4N_4	4N_5	4N_6	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_4	4N_CL_5	4N_CL_6	CL_4	CL_5	CL_6
0	211541	167422	179605	103954	121540	128309	241314	297015	289623	266281	283525	296425	123228	142124	85070	287785	284954	285966	19598	16743	15418	7777	8637	31898	4838	4470	3764	90034	85194	82880	41974	41615	41440	15038	13608	21619	287822	269765	264852	252978	259122	251104	142378	101869	131977	77384	58312	54009
1	1254	1060	1068	3211	3955	3806	873	988	1576	2916	1869	1804	377	398	428	1939	1886	1709	18381	19210	15877	175	214	868	368	420	335	1970	2077	2023	970	1020	948	9418	8836	9597	1785	1078	979	1997	1869	1902	4385	4561	4636	12096	9830	9446
2	164	741	109	2838	2878	3246	13	6	45	1261	157	7	120	367	183	200	222	191	1447	1528	1203	128	416	702	1197	1177	986	8641	8106	9199	2178	2033	1975	2083	1134	1587	56	216	255	1229	1399	1557	1988	1279	1924	1684	1421	1480
3	426	1526	413	12317	13517	17241	24	3	22	1023	93	8	261	225	205	186	206	200	2307	2661	1981	221	970	867	2946	3168	2909	9289	8938	9288	7301	6907	6729	1979	1499	2050	1072	4798	5414	12842	13764	16293	1689	1568	1807	3516	3410	3705
4	698	1682	500	2821	2795	2993	19	4	18	806	85	9	127	45	71	195	202	209	2340	2545	2113	186	816	838	4723	5000	4438	9182	8750	8740	8734	7771	7550	2423	2566	3138	95	423	432	920	950	897	2243	2676	2138	72489	79926	85669
5	779	2330	603	2046	2256	2175	54	7	26	707	73	3	270	485	406	1288	1858	1273	2009	2042	1754	466	10263	3948	56910	65222	68891	6258	6125	5962	53375	45609	50453	2110	2375	3000	457	2130	2075	1747	1555	1553	1104	1070	1075	4509	4574	4456
6	1402	3438	1194	1803	1812	2044	154	5	57	592	89	11	419	1168	1530	200	206	180	7544	8974	6734	777	1758	1818	5350	4964	4752	7541	7349	7591	10082	9533	9234	46921	43518	58322	109	475	531	750	732	817	1152	1291	1333	3188	2850	2590
7	844	4027	650	2774	3108	3261	246	7	47	594	131	9	1139	1018	2337	223	269	281	3658	4257	4467	2409	3301	3932	9345	8366	8274	11438	11325	11464	10830	10228	10703	4479	5252	6177	139	575	633	946	957	990	2370	2272	2204	3615	2916	2988
8	509	3860	405	3153	3515	3754	338	7	60	784	192	14	1392	1641	2361	346	544	484	3551	3856	3658	4559	5574	5895	17702	17218	17103	14502	14436	14960	16238	14557	15826	5993	6641	6562	164	652	687	1226	1167	1274	2897	3946	3044	5762	5199	4493
9	576	3316	356	2998	3235	3283	421	7	62	1698	402	13	2556	2233	3445	356	480	412	4620	5263	4922	6246	6773	6962	15398	15096	14973	14079	13875	14523	14097	13267	13966	12047	12319	14258	197	770	786	1358	1340	1431	4156	5356	4344	6507	6386	5431
10	352	2962	266	2710	2846	2886	423	7	57	1820	542	18	2857	2103	4356	275	378	458	5274	6029	5957	6779	6148	7122	12773	11944	11920	11796	11597	12561	11023	10839	11492	12089	12281	13522	162	678	811	1599	1500	1693	4869	6702	5541	6581	6566	6381
11	403	2197	310	4720	5165	5721	519	10	64	2544	755	18	5985	3940	6439	270	328	417	6125	6762	6211	7243	6148	7109	11591	10843	10158	12510	12730	13242	10182	9902	10801	10809	11202	10250	209	744	794	1728	1654	1838	6699	8580	6972	6832	7527	6193
12	372	1682	295	4443	4406	4298	590	9	80	3956	901	31	7576	6551	7836	206	322	409	7232	8009	7489	7904	7390	7912	12952	11602	11577	11437	11460	12212	9610	9673	9922	10241	10593	8922	198	769	814	1721	1473	1723	9911	12882	10707	8345	8648	8246
13	393	1531	300	4708	5012	4635	711	19	91	1219	487	29	7714	7323	9718	235	326	369	8143	9133	8545	9512	8926	9701	10434	9643	9118	9449	9750	10193	8026	8189	8457	12717	12848	10768	185	707	843	1479	1346	1419	10489	13610	11585	8146	9292	8373
14	383	1109	265	4530	4623	4265	806	16	98	625	201	30	8160	6742	8897	253	349	383	9062	9926	9183	9946	7963	9141	10551	9489	9385	8850	9037	9366	7973	8306	8490	10451	10904	8158	210	747	864	1412	1207	1387	8027	10879	8591	6346	7095	6130
15	339	913	257	4867	5209	4961	871	24	124	218	83	33	9801	11081	11100	253	360	404	11464	12487	12510	8482	7335	8201	10070	9170	8972	7987	8014	8382	7759	7943	8134	10726	10787	8435	227	745	826	1240	1078	1249	8130	10357	8086	6183	6622	5817
16	298	715	206	5681	5251	5340	804	16	134	399	87	17	9374	7079	8798	171	237	296	10291	11327	10881	8537	7044	7451	9175	8452	8308	6777	6792	7200	5978	6342	6298	11283	11848	10067	208	681	767	1074	952	1053	7882	10045	8039	5205	6146	5534
17	352	599	222	4378	3794	3782	776	23	124	224	52	14	7422	5437	7724	202	219	291	6559	7382	7192	9048	7246	7560	8271	7597	7134	5863	5866	6167	5576	5792	5880	9073	9257	7215	180	665	674	932	761	856	6751	9058	6985	4907	5560	4821
