Sample	coding_exons	GtRNAdb	intergenic	lncRNA	miRNA	miRNA_primary_transcript	misc_RNA_ensembl	Mt_rRNA_ensembl	Mt_tRNA_ensembl	piRBase	protein_coding_gene	ribozyme_ensembl	rRNA_ensembl	scaRNA_ensembl	scRNA_ensembl	snoRNA_ensembl	snRNA_ensembl	sRNA_ensembl	unmapped_reads
SB_4N_1	219	245	1183	1435	563	2	1	18	15	156	1982	2	310	1	0	235	5	0	4518
SB_4N_2	176	191	1153	1323	194	1	1	3	6	176	1870	1	141	1	0	182	3	0	4487
SB_4N_3	142	212	894	1095	203	1	0	5	7	121	1489	0	151	0	0	209	8	0	3228
CL_1	1136	535	10625	4222	76	1	21	24	2	201	12758	4	16993	1	0	193	15	0	79241
CL_2	828	492	8012	3649	85	2	12	8	3	179	9642	7	8053	6	0	148	16	0	68059
CL_3	789	524	7327	3203	56	2	19	4	5	203	8834	0	10112	0	0	146	5	0	62771
4N_1	413	927	1282	2996	648	9	5	24	44	376	2143	0	256	0	0	274	15	0	8233
4N_2	34	9	340	279	14	0	0	0	1	8	615	0	13	0	0	7	0	0	507
4N_3	171	79	1379	1255	114	0	0	2	7	48	2216	0	61	1	0	81	2	0	2276
4N_C3_1	113	78	1213	1809	55	0	11	11	22	58	2916	6	1966	1	1	43	20	0	4010
4N_C3_2	155	40	1410	2071	24	0	5	16	9	20	3097	2	366	0	0	18	11	0	3032
4N_C3_3	24	17	257	195	16	0	0	1	0	10	411	0	7	0	0	3	0	0	566
4N_CL_1	1832	8107	7607	18311	1910	0	35	38	156	3617	7901	0	3917	77	0	1504	32	0	56178
4N_CL_2	2050	13291	4939	17329	3427	66	0	84	102	4075	7844	0	4631	31	0	1789	93	0	39276
4N_CL_3	2038	14434	4817	18367	3014	0	0	96	28	4019	6490	22	3959	10	0	2086	104	0	50365
SBN_1	84	148	523	602	92	0	1	4	50	76	795	1	79	1	0	148	4	0	2809
SBN_2	138	207	551	881	165	0	4	21	67	140	750	3	142	1	0	347	7	0	3230
SBN_3	92	144	508	757	116	0	3	13	47	109	803	2	99	0	0	194	5	0	3176
SBN_CL_1	3341	5953	10158	30468	5796	9	143	281	548	7067	12734	48	5702	33	0	12329	188	2	75595
SBN_CL_2	3126	5987	9182	28998	5880	17	145	265	582	6555	12014	54	4257	38	0	11260	162	0	73344
SBN_CL_3	3455	6195	10006	32799	5836	23	161	306	526	7848	13071	83	5360	24	0	13025	259	0	74928
SB_1	2080	4396	14526	21085	2248	3	35	177	277	5087	18176	15	6140	9	0	6296	139	0	128916
SB_2	2476	6471	15247	14714	4098	0	112	260	1007	1804	17690	33	7227	32	2	9547	168	0	122190
SB_3	1926	5504	12639	12333	3338	4	63	198	496	1790	14145	30	5137	10	5	6136	104	0	114217
SB_4	730	8502	6158	14101	2283	4	67	997	674	3937	6790	11	1706	9	0	1722	78	2	47635
SB_5	693	9252	6320	14506	2103	9	45	925	939	4002	6195	24	2529	11	1	2813	105	0	45686
SB_6	875	8319	7745	13942	2056	7	62	904	601	3686	8976	19	1706	7	0	1773	73	1	46251
SB_4N_4	551	2096	3414	8001	1231	5	13	607	219	1611	5310	4	813	2	1	815	34	0	27670
SB_4N_5	646	2054	4497	9238	1226	5	7	589	201	1765	7207	4	758	3	0	883	27	0	29469
SB_4N_6	504	2149	3408	8336	1307	3	9	544	270	1657	5229	5	740	1	0	779	33	0	29073
SBN_4	643	5961	3509	8429	1469	4	102	1433	1498	1763	4512	20	1396	7	1	2029	80	0	35238
SBN_5	820	6160	5635	10373	1645	6	110	932	1792	1896	7927	17	1334	5	0	1937	72	0	39813
SBN_6	658	5830	3824	9089	1651	1	117	867	1680	1789	5070	21	1361	8	1	2040	76	0	37619
SBN_CL_4	857	9694	6068	14861	2090	2	137	1286	1068	3549	8287	23	2297	10	0	3481	77	1	56332
SBN_CL_5	938	9289	7724	15034	2002	3	141	819	1068	3310	10698	28	2615	10	0	3267	60	3	55523
SBN_CL_6	905	8002	7682	13042	1465	3	93	766	1550	2552	9958	22	3629	7	1	3091	62	1	43522
4N_4	128	49	1291	1070	67	0	0	19	6	39	2030	0	13	0	0	39	1	0	1773
4N_5	232	172	2169	2070	217	1	1	69	18	111	3549	0	41	1	0	120	3	0	4608
4N_6	344	194	2883	2706	253	2	0	73	24	113	4695	0	43	0	0	154	3	0	5476
4N_C3_4	157	471	1351	1828	422	0	3	68	28	217	1981	1	59	0	0	201	6	0	6029
4N_C3_5	64	337	572	1043	306	0	7	64	13	153	770	1	57	0	0	121	3	0	3663
4N_C3_6	149	354	1104	1544	332	0	9	76	38	157	1736	1	49	0	0	122	7	0	5286
4N_CL_4	648	5763	4067	10016	1383	11	32	517	88	2146	6407	12	1044	0	0	1792	34	0	38920
4N_CL_5	782	7087	4869	13071	2033	0	31	533	124	2809	7454	23	1129	7	0	2188	47	0	49812
4N_CL_6	734	5594	5615	10983	1534	5	40	403	68	2192	8620	11	874	6	0	1543	45	0	40745
CL_4	536	4510	3724	8477	655	2	45	349	119	1559	6313	27	1336	5	0	2002	122	0	26924
CL_5	466	5760	3596	10193	829	3	24	489	154	1906	6241	29	1894	21	0	3052	140	0	32923
CL_6	489	5338	4575	11805	802	16	28	693	174	2313	7378	36	1714	12	0	2866	144	0	35855
