ID	Group	Sample name	method	3'adapter	5'adapter
SB_4N_1_SCE	SB_4N	SB_4N_1	Faridani	4N	4N
SB_4N_2_SCE	SB_4N	SB_4N_2	Faridani	4N	4N
SB_4N_3_SCE	SB_4N	SB_4N_3	Faridani	4N	4N
CL_1_SCE	CL	CL_1	Shore	CleanTag	CleanTag
CL_2_SCE	CL	CL_2	Shore	CleanTag	CleanTag
CL_3_SCE	CL	CL_3	Shore	CleanTag	CleanTag
4N_1_SCE	4N	4N_1	Giraldez	4N	4N
4N_2_SCE	4N	4N_2	Giraldez	4N	4N
4N_3_SCE	4N	4N_3	Giraldez	4N	4N
4N_C3_1_SCE	4N_C3	4N_C3_1	Giraldez	4N	C3
4N_C3_2_SCE	4N_C3	4N_C3_2	Giraldez	4N	C3
4N_C3_3_SCE	4N_C3	4N_C3_3	Giraldez	4N	C3
4N_CL_1_SCE	4N_CL	4N_CL_1	Giraldez	CleanTag	CleanTag
4N_CL_2_SCE	4N_CL	4N_CL_2	Giraldez	CleanTag	CleanTag
4N_CL_3_SCE	4N_CL	4N_CL_3	Giraldez	CleanTag	CleanTag
SBN_1_SCE	SBN	SBN_1	Jensen	Sandberg	Sandberg
SBN_2_SCE	SBN	SBN_2	Jensen	Sandberg	Sandberg
SBN_3_SCE	SBN	SBN_3	Jensen	Sandberg	Sandberg
SBN_CL_1_SCE	SBN_CL	SBN_CL_1	Jensen	CleanTag	CleanTag
SBN_CL_2_SCE	SBN_CL	SBN_CL_2	Jensen	CleanTag	CleanTag
SBN_CL_3_SCE	SBN_CL	SBN_CL_3	Jensen	CleanTag	CleanTag
SB_1_SCE	SB	SB_1	Faridani	Sandberg	Sandberg
SB_2_SCE	SB	SB_2	Faridani	Sandberg	Sandberg
SB_3_SCE	SB	SB_3	Faridani	Sandberg	Sandberg
SB_4_SCE	SB	SB_4	Faridani	Sandberg	Sandberg
SB_5_SCE	SB	SB_5	Faridani	Sandberg	Sandberg
SB_6_SCE	SB	SB_6	Faridani	Sandberg	Sandberg
SB_4N_4_SCE	SB_4N	SB_4N_4	Faridani	4N	4N
SB_4N_5_SCE	SB_4N	SB_4N_5	Faridani	4N	4N
SB_4N_6_SCE	SB_4N	SB_4N_6	Faridani	4N	4N
SBN_4_SCE	SBN	SBN_4	Jensen	Sandberg	Sandberg
SBN_5_SCE	SBN	SBN_5	Jensen	Sandberg	Sandberg
SBN_6_SCE	SBN	SBN_6	Jensen	Sandberg	Sandberg
SBN_CL_4_SCE	SBN_CL	SBN_CL_4	Jensen	CleanTag	CleanTag
SBN_CL_5_SCE	SBN_CL	SBN_CL_5	Jensen	CleanTag	CleanTag
SBN_CL_6_SCE	SBN_CL	SBN_CL_6	Jensen	CleanTag	CleanTag
4N_4_SCE	4N	4N_4	Giraldez	4N	4N
4N_5_SCE	4N	4N_5	Giraldez	4N	4N
4N_6_SCE	4N	4N_6	Giraldez	4N	4N
4N_C3_4_SCE	4N_C3	4N_C3_4	Giraldez	4N	C3
4N_C3_5_SCE	4N_C3	4N_C3_5	Giraldez	4N	C3
4N_C3_6_SCE	4N_C3	4N_C3_6	Giraldez	4N	C3
4N_CL_4_SCE	4N_CL	4N_CL_4	Giraldez	CleanTag	CleanTag
4N_CL_5_SCE	4N_CL	4N_CL_5	Giraldez	CleanTag	CleanTag
4N_CL_6_SCE	4N_CL	4N_CL_6	Giraldez	CleanTag	CleanTag
CL_4_SCE	CL	CL_4	Shore	CleanTag	CleanTag
CL_5_SCE	CL	CL_5	Shore	CleanTag	CleanTag
CL_6_SCE	CL	CL_6	Shore	CleanTag	CleanTag
