Gene	4N_C3_1	4N_C3_2	4N_C3_3	4N_C3_4	4N_C3_5	4N_C3_6	4N_CL_1	4N_CL_2	4N_CL_3	4N_CL_4	4N_CL_5	CL_1	CL_16C_1	CL_16C_2	CL_16C_3	CL_2	CL_3	CL_4	CL_5	CL_6	CL_Block_1	CL_Block_2	CL_Block_3	CL_C3_1	CL_C3_2	CL_C3_3	CL_Rand_1	CL_Rand_2	CL_Rand_3	CL_SB_1	CL_SB_2	CL_SB_3	CL_UMI6_1	CL_UMI6_2	CL_UMI6_3	SBN_1	SBN_2	SBN_3	SBN_4	SBN_5	SBN_6	SBN_CL_1	SBN_CL_2	SBN_CL_3	SBN_CL_4	SBN_CL_5	SBN_CL_6	SB_1	SB_2	SB_3	SB_4	SB_5	SB_6	SB_C3_1	SB_C3_2	SB_C3_3	SB_CL_1	SB_CL_2	SB_CL_3
35816	87	117	112	165	183	182	75	104	134	122	125	224	13	111	175	115	162	71	87	84	0	0	1	44	39	13	1	1	7	0	1	8	74	45	28	48	46	52	64	82	80	89	97	92	61	69	46	85	78	80	91	86	107	111	91	91	13	16	97
35817	84	111	114	137	164	148	64	73	90	105	107	206	12	66	123	90	137	45	55	60	0	0	0	25	36	8	1	5	5	3	1	2	54	22	20	72	60	57	91	90	95	116	107	117	62	79	67	113	110	98	115	107	99	89	94	88	4	8	52
35824	287	423	300	119	135	137	1544	1371	242	219	210	274	27	116	114	209	298	134	147	140	1	0	2	47	39	4	1	0	1	5	8	14	115	35	17	472	454	400	552	550	566	477	452	479	590	536	695	1708	1637	1762	1544	1437	1505	492	593	397	59	66	572
35827	27	31	31	19	19	24	145	139	46	44	39	55	2	24	24	40	58	24	33	33	0	0	0	8	9	1	0	0	0	3	1	2	30	13	15	143	135	134	198	212	231	99	104	83	101	128	73	70	94	66	52	77	105	15	19	25	4	3	24
35830	11	17	5	9	10	8	18	14	2	1	2	4	0	3	0	3	4	3	0	1	0	0	0	0	1	0	0	0	0	3	0	0	2	1	0	29	30	32	112	123	152	5	10	5	9	7	11	32	42	36	54	55	46	6	8	9	0	1	3
35832	24	40	37	120	100	114	8	3	81	60	48	60	1	17	43	28	61	17	19	23	0	0	0	12	17	0	0	0	0	0	2	2	9	8	6	79	84	75	121	86	115	10	12	11	7	11	9	18	14	17	22	27	23	17	6	15	0	0	1
35835	0	0	0	14	13	16	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	1	2	4	5	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
35837	4	4	3	7	11	13	5	4	22	18	23	62	1	15	19	28	55	27	28	31	0	0	0	7	8	2	0	0	0	1	2	2	7	7	3	23	19	22	37	54	43	7	8	6	46	35	15	15	11	10	17	25	14	2	2	3	0	0	0
35838	13	23	23	38	48	36	42	32	87	75	78	188	6	51	64	98	141	95	114	121	0	0	0	19	22	4	0	0	0	1	0	4	25	21	29	63	62	46	106	125	118	34	44	41	99	106	50	34	43	28	51	42	60	10	8	6	0	1	7
35841	35	42	35	95	97	103	14	25	41	37	25	106	1	27	42	41	78	17	20	24	0	0	0	14	13	2	1	0	0	0	0	1	19	15	3	19	18	23	28	42	32	27	32	24	35	57	33	46	32	37	42	45	38	32	35	28	1	6	10
35843	8	10	8	47	57	67	2	3	17	11	5	39	2	13	7	29	37	21	29	26	0	0	0	5	7	0	0	0	1	1	0	1	10	12	6	18	23	19	37	59	34	7	6	6	27	20	14	9	2	5	5	9	11	2	0	3	0	0	0
35844	1	1	2	14	15	16	0	0	2	5	1	6	1	2	1	2	4	3	5	5	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	2	0	4	6	6	4	0	0	0	3	5	0	3	5	0	5	0	2	0	0	2	0	0	0
35847	4	4	3	85	61	62	0	0	8	11	8	18	0	3	6	10	10	4	2	6	0	0	0	3	1	0	1	0	0	0	0	0	4	4	5	8	9	5	12	13	9	12	13	14	24	14	10	4	7	3	4	4	3	0	0	0	0	0	0
35849	2	6	3	57	41	38	4	4	33	24	26	41	2	20	13	36	30	37	31	43	0	0	0	16	11	2	0	0	0	4	7	6	18	15	6	33	24	17	69	67	70	11	14	16	44	36	59	42	46	36	70	50	50	9	7	7	0	0	1
35856	15	35	19	80	62	59	175	111	152	159	180	138	17	138	134	90	97	297	295	240	1	0	1	68	62	3	1	3	2	34	32	38	154	75	68	128	124	79	320	284	294	62	51	52	142	151	205	142	177	143	173	192	202	124	91	135	1	2	5
35857	260	248	221	204	186	173	509	557	146	132	95	270	16	70	72	83	181	59	61	54	0	0	0	22	16	3	1	1	3	0	4	4	74	29	16	980	880	801	840	739	755	1283	1269	1290	1018	1103	1250	1469	1512	1351	1258	1188	1371	374	254	352	9	14	215
35859	1	2	0	14	16	13	2	1	6	3	2	6	0	5	6	3	8	10	5	8	0	0	0	0	3	0	0	0	0	1	0	0	5	3	0	8	8	6	23	26	22	3	3	2	6	5	8	8	8	2	6	6	8	1	2	3	0	0	1
35860	277	248	297	128	135	142	1664	1795	604	557	450	160	26	320	184	152	158	424	432	350	3	0	2	34	38	4	1	1	2	2	5	11	219	131	57	318	280	297	175	169	206	615	520	536	392	428	470	647	627	710	586	626	539	324	434	362	208	253	1201
35862	20	23	24	162	156	159	23	19	34	23	14	67	3	31	35	24	52	23	36	35	0	0	0	10	17	2	0	0	0	1	2	3	13	7	6	39	42	47	146	126	147	15	25	12	9	12	17	31	17	19	37	40	29	5	2	1	0	0	0
35863	1	2	1	21	27	22	1	1	3	0	1	21	0	1	2	4	5	2	4	3	0	0	0	3	2	0	0	0	0	0	0	0	1	0	1	4	6	0	16	12	3	4	7	2	3	6	3	2	2	4	3	1	3	0	0	0	0	0	0
35864	3	3	2	85	94	82	0	0	8	9	9	17	1	10	8	1	6	14	17	16	0	0	0	6	4	0	0	0	0	0	2	0	9	3	2	1	3	4	4	9	14	1	0	3	5	7	4	2	1	0	1	1	2	1	0	0	0	0	0
35865	0	0	0	16	12	14	2	3	17	9	7	7	0	5	4	2	3	22	29	20	0	0	0	2	3	1	0	0	0	3	7	2	4	4	2	19	14	11	45	55	47	1	3	1	9	12	5	4	4	4	4	12	7	0	1	3	0	0	0
35866	4	5	3	55	53	58	4	2	30	19	26	77	1	21	21	19	53	18	28	14	0	0	0	6	5	0	0	0	0	2	2	0	21	6	5	15	22	20	40	39	55	7	5	5	6	9	9	8	11	6	8	8	5	0	0	1	0	0	0
35869	12	31	23	90	114	124	134	131	577	611	584	995	36	409	390	401	921	896	959	940	2	0	0	89	202	22	0	2	0	20	6	61	333	190	200	272	294	300	547	615	624	97	143	127	130	145	100	45	49	49	81	89	72	11	6	11	0	0	7
35872	35	55	43	61	74	56	9	7	15	12	9	30	1	6	9	14	27	2	6	6	0	0	0	2	6	0	0	0	0	0	0	1	7	3	4	56	68	48	104	90	94	20	36	31	36	57	49	12	10	9	10	15	15	16	13	10	0	1	6
35876	33	69	41	170	175	149	125	86	864	790	658	467	10	161	195	279	507	402	347	390	1	0	1	37	43	5	0	0	0	16	4	15	201	109	96	358	349	348	528	486	594	130	194	141	344	305	367	307	366	334	409	439	473	41	25	35	1	1	13
35878	0	1	1	38	38	30	0	1	0	3	3	8	1	1	1	0	2	10	6	9	0	0	0	1	0	0	0	0	0	0	2	0	6	4	3	3	5	8	51	39	52	2	2	2	5	7	8	3	5	5	4	3	4	0	0	0	0	0	0
35879	1	0	0	116	124	111	6	6	33	38	33	30	5	43	29	8	19	29	38	28	0	0	0	11	23	3	0	0	0	12	14	25	17	3	2	12	14	13	28	26	25	7	5	8	4	10	9	8	6	11	14	9	8	4	4	3	0	0	0
35882	0	0	0	18	17	16	1	0	0	3	0	7	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35883	7	17	13	83	76	64	1	3	9	12	8	71	3	7	17	7	25	5	19	3	0	0	0	2	1	0	0	0	0	0	0	0	10	10	6	13	26	27	49	43	39	17	15	21	19	12	15	6	7	18	5	1	8	0	0	0	0	0	1
35884	25	43	30	53	43	52	7	5	18	8	13	18	1	8	9	11	14	19	11	14	0	0	0	6	1	0	0	0	0	0	0	0	6	17	4	17	20	15	31	29	30	22	41	37	41	38	41	6	8	8	9	10	6	4	2	6	0	0	1
35885	95	188	146	228	247	232	100	121	275	280	184	813	11	82	261	272	568	236	283	349	0	0	0	76	46	9	0	2	1	4	5	2	120	205	169	959	945	922	1238	1053	1204	520	706	666	986	907	868	425	505	411	597	668	577	59	34	43	5	4	66
35886	4	7	11	79	69	76	13	8	51	61	53	249	2	35	52	79	157	73	58	73	0	1	0	12	8	1	0	0	0	3	3	3	34	36	19	69	75	61	211	196	198	25	27	20	50	55	47	29	28	30	29	40	41	0	1	1	0	0	1
35887	59	57	50	12	14	9	23	23	10	5	7	4	0	10	5	1	10	11	17	14	0	0	0	13	13	0	0	0	0	12	10	13	25	12	4	164	162	173	298	279	323	51	56	73	78	86	75	74	68	72	92	103	97	53	59	47	0	0	2
35888	60	65	44	67	79	70	30	20	13	13	11	3	2	33	23	5	15	37	31	32	0	0	1	28	33	7	0	0	0	11	12	12	49	18	19	160	179	152	242	246	279	54	54	46	55	61	77	60	69	65	95	97	99	77	59	45	0	1	3
35889	7	9	4	92	97	91	1	5	8	7	9	36	2	5	10	10	21	8	7	9	0	0	0	10	4	0	0	0	0	0	0	0	4	8	1	7	5	2	28	20	12	1	5	4	12	20	23	0	4	2	3	2	2	0	0	0	0	0	0
