"Sample"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"mapped_perc_valid"	"mapped_total"	"mapped_perc_total"
"4N_1"	51.02	0	0	1	1	41.15	21.18	0	0.01	22	0	0	0	78224	0	0	0	153317	460	0	0.3	7.52	11536	0	63097	0	58.54	89760	29.92
"4N_2"	51.56	0	0	1	1	40.64	21.23	0	0.01	22	0	0	0	72397	0	0	0	140415	449	0	0.32	7.48	10508	0	57061	0	59.04	82905	27.635
"4N_3"	50.42	0	0	1	1	41.16	21.11	0	0.01	22	0	0	0	55501	0	0	0	110077	297	0	0.27	8.15	8972	0	45307	0	58.57	64473	21.491
"4N_4"	51.21	0	0	1	1	38.44	21.19	0	0.01	23	0	0	0	99060	0	0	0	193446	445	0	0.23	10.12	19586	0	74355	0	61.33	118646	39.5486666666667
"4N_5"	51.46	0	0	1	1	38.07	21.13	0	0.01	23	0	0	0	109009	0	0	0	211829	424	0	0.2	10.27	21763	0	80633	0	61.73	130772	43.5906666666667
"4N_6"	51.21	0	0	1	1	38.62	21.15	0	0.01	23	0	0	0	109477	0	0	0	213768	513	0	0.24	9.93	21222	0	82556	0	61.14	130699	43.5663333333333
"4N_C3_1"	52.49	0	0	1	1	39.27	21.26	0	0.01	22	0	0	0	81527	0	0	0	155315	1103	0	0.71	7.53	11690	0	60995	0	60.02	93217	31.0723333333333
"4N_C3_2"	50.83	0	0	1	1	40.03	21.18	0	0.01	22	0	0	0	84177	0	0	0	165607	1225	0	0.74	8.4	13916	0	66289	0	59.23	98093	32.6976666666667
"4N_C3_3"	51.82	0	0	1	1	39.55	21.23	0	0.01	22	0	0	0	78138	0	0	0	150777	1025	0	0.68	7.95	11986	0	59628	0	59.77	90124	30.0413333333333
"4N_C3_4"	51.27	0	0	1	1	36.78	21.08	0	0.01	23	0	0	0	116207	0	0	0	226644	1088	0	0.48	11.46	25977	0	83372	0	62.73	142184	47.3946666666667
"4N_C3_5"	51.04	0	0	1	1	37.29	21.13	0	0.01	22	0	0	0	117404	0	0	0	230002	1219	0	0.53	11.14	25617	0	85762	0	62.18	143021	47.6736666666667
"4N_C3_6"	51.06	0	0	1	1	37.43	21.1	0	0.01	22	0	0	0	118030	0	0	0	231145	1271	0	0.55	10.95	25317	0	86527	0	62.01	143347	47.7823333333333
"4N_CL_1"	52.41	0	0	1	1	39.56	21.17	0	0.02	22	0	0	0	142903	0	0	0	272667	2372	0.01	0.87	7.16	19524	0	107868	0	59.57	162427	54.1423333333333
"4N_CL_2"	53.74	0	0	1	1	39.36	21.22	0	0.02	21	0	0	0	149718	0	0	0	278615	2424	0.01	0.87	6.03	16810	0	109663	0	59.77	166528	55.5093333333333
"4N_CL_3"	51.5	0	0	1	1	40.17	21.38	0	0.01	23	0	0	0	148552	0	0	0	288426	87	0	0.03	8.29	23912	0	115875	0	59.79	172464	57.488
"4N_CL_4"	52.09	0	0	1	1	39.87	21.33	0	0.01	23	0	0	0	149155	0	0	0	286328	115	0	0.04	8	22899	0	114159	0	60.09	172054	57.3513333333333
"4N_CL_5"	52.51	0	0	1	1	39.7	21.37	0	0.01	23	0	0	0	149043	0	0	0	283848	142	0	0.05	7.74	21971	0	112692	0	60.25	171014	57.0046666666667
"CATS_1"	25.26	0	0	0	1	55.27	20.84	0	0.13	39	0	0	0	5405	0	0	0	21397	21	0	0.1	19.37	4145	0	11826	0	44.63	9550	4.05871753025976
"CATS_2"	18.87	0	0	0	1	66.33	20.73	0.01	0.11	33	0	0	0	3227	0	0	0	17098	19	0	0.11	14.69	2512	0	11340	0	33.56	5739	2.83982384086298
"CATS_3"	22.69	0	0	1	1	60.15	20.64	0.01	0.1	37	0	0	0	5439	0	0	0	23975	24	0	0.1	17.07	4092	0	14420	0	39.76	9531	3.177
"CL_1"	46.88	0	0	1.03	1	39.27	21.19	0	0.03	22	0	0	0	125156	0	0	0	266954	347	0	0.13	13.71	36592	0	104859	0	60.59	161748	53.916
"CL_16C_1"	47.89	0	0	1	1	40.14	20.77	0	0.02	26	0	0	0	6589	0	0	0	13758	26	0	0.19	11.77	1620	0	5523	0	59.66	8209	3.5700617552405
"CL_16C_2"	45.94	0	0	1	1	41.55	20.94	0	0.02	22	0	0	0	87673	0	0	0	190838	496	0	0.26	12.25	23375	0	79294	0	58.19	111048	37.016
"CL_16C_3"	46.79	0	0	1	1	41.32	21.11	0	0.03	23	0	0	0	95630	0	0	0	204393	388	0	0.19	11.7	23913	0	84462	0	58.49	119543	39.8476666666667
"CL_2"	41.87	0	0	1	1	47.04	20.9	0	0.03	23	0	0	0	90427	0	0	0	215993	302	0	0.14	10.95	23648	0	101616	0	52.82	114075	38.025
"CL_3"	46.51	0	0	1	1	41.46	21.17	0	0.03	22	0	0	0	118968	0	0	0	255803	281	0	0.11	11.92	30494	0	106060	0	58.43	149462	49.8206666666667
"CL_4"	52.17	0	0	1	1	39.59	21.13	0	0.01	23	0	0	0	137386	0	0	0	263355	316	0	0.12	8.13	21399	0	104254	0	60.3	158785	52.9283333333333
"CL_4N_1"	46.02	0	0	1	1	33.74	19.94	0	0.05	48	0	0	0	1871	0	1	0.02	4066	11	0.01	0.27	19.95	811	0	1372	0	65.97	2682	0.894
"CL_4N_2"	46.45	0	0	0	0	31.36	19.67	0	0.05	54	0	0	0	2330	0	0	0	5016	6	0	0.12	22.07	1107	0	1573	0	68.52	3437	1.14566666666667
"CL_4N_3"	44.17	0	0	1	0	38.81	20.54	0	0.02	35	0	0	0	2404	0	0	0	5442	23	0.01	0.42	16.59	903	0	2112	0	60.76	3307	1.10233333333333
"CL_5"	52	0	0	1	1	39.65	21.19	0	0.01	23	0	0	0	137500	0	0	0	264405	344	0	0.13	8.21	21711	0	104850	0	60.21	159211	53.0703333333333
"CL_6"	52.03	0	0	1	1	39.19	21.14	0	0.01	23	0	0	0	138541	0	0	0	266295	293	0	0.11	8.68	23115	0	104346	0	60.71	161656	53.8853333333333
"CL_Block_1"	48.94	0	0	0	0	30.57	19.26	0	0.09	56	0	0	0	1159	0	0	0	2368	0	0	0	20.48	485	0	724	0	69.42	1644	0.548
"CL_Block_2"	46.52	0	0	0	0	30.54	19.04	0	0.04	60	0	0	0	850	0	0	0	1827	1	0	0.05	22.88	418	0	558	0	69.4	1268	0.422666666666667
"CL_Block_3"	48.82	0	0	0	0	30.85	19.06	0	0.03	58	0	0	0	975	0	0	0	1997	0	0	0	20.33	406	0	616	0	69.15	1381	0.460333333333333
"CL_C3_1"	34.36	0	0	1	1	56.55	20.26	0	0.02	25	0	0	0	44302	0	0	0	128922	503	0	0.39	8.69	11200	0	72917	0	43.05	55502	18.5006666666667
"CL_C3_2"	33.09	0	0	1	1	56.62	20.28	0	0.02	26	0	0	0	51734	0	0	0	156346	625	0	0.4	9.9	15473	0	88514	0	42.99	67207	22.4023333333333
"CL_C3_3"	32.17	0	0	1	1	48.88	20.77	0	0.02	27	0	0	0	10021	0	0	0	31148	100	0.01	0.32	18.63	5802	0	15225	0	50.8	15823	5.27433333333333
"CL_Rand_1"	47.41	0	0	0	0	29.84	18.93	0	0.03	57	0	0	0	1225	0	0	0	2584	2	0	0.08	22.68	586	0	771	0	70.09	1811	0.603666666666667
"CL_Rand_2"	47.45	0	0	0	0	31.8	19.02	0	0.06	51	0	0	0	1137	0	0	0	2396	3	0	0.13	20.62	494	0	762	0	68.07	1631	0.543666666666667
"CL_Rand_3"	47.88	0	0	0	0	31.04	18.96	0	0.04	52	0	0	0	1297	0	0	0	2709	7	0	0.26	20.82	564	0	841	0	68.7	1861	0.620333333333333
"CL_SB_1"	42.89	0	0	1	1	43.77	20.56	0	0.03	33	0	0	0	2852	0	0	0	6650	12	0	0.18	13.16	875	0	2911	0	56.05	3727	1.24233333333333
"CL_SB_2"	44.27	0	0	0	0	40.84	20.07	0	0.03	40	0	0	0	3458	0	0	0	7811	9	0	0.12	14.77	1154	0	3190	0	59.04	4612	1.53733333333333
"CL_SB_3"	41.01	0	0	1	1	45.59	20.65	0	0.04	30	0	0	0	7141	0	2	0.01	17413	16	0.01	0.09	13.3	2316	0	7939	0	54.31	9457	3.15233333333333
"CL_UMI6_1"	45.23	0	0	1	1	42.69	21	0	0.02	23	0	0	0	97140	0	0	0	214765	215	0	0.1	11.98	25729	0	91681	0	57.21	122869	40.9563333333333
"CL_UMI6_2"	40.92	0	0	1	1	47.47	20.85	0	0.04	24	0	0	0	70566	0	0	0	172468	155	0	0.09	11.53	19877	0	81870	0	52.45	90443	30.1476666666667
"CL_UMI6_3"	34.11	0	0	1	1	56.05	20.46	0	0.04	27	0	0	0	67599	0	0	0	198160	119	0	0.06	9.77	19369	0	111073	0	43.88	86968	28.9893333333333
"SBN_1"	48.1	0	0	1	1	40.45	21.37	0	0.01	22	0	0	0	122330	0	0	0	254341	203	0	0.08	11.37	28919	0	102889	0	59.47	151249	50.4163333333333
"SBN_2"	48.14	0	0	1	1	40.19	21.44	0	0.02	22	0	0	0	118705	0	0	0	246589	197	0	0.08	11.6	28592	0	99095	0	59.74	147297	49.099
"SBN_3"	48.28	0	0	1	1	40.17	21.39	0	0.01	22	0	0	0	112215	0	0	0	232426	163	0	0.07	11.48	26678	0	93370	0	59.76	138893	46.2976666666667
"SBN_4"	48.13	0	0	1	1	39.71	21.17	0	0.01	22	0	0	0	138772	1	0	0	288316	288	0	0.1	12.05	34748	0	114507	0	60.18	173520	57.84
"SBN_4N_1"	49.58	0	0	0	1	27.95	19.73	0	0.07	57	0	0	0	2716	0	0	0	5478	4	0	0.07	22.4	1227	0	1531	0	71.98	3943	1.31433333333333
"SBN_4N_2"	47.03	0	0	1	0	28.91	19.63	0	0.05	56	0	0	0	2289	0	0	0	4867	7	0	0.14	23.92	1164	0	1407	0	70.95	3453	1.151
"SBN_4N_3"	48.23	0	0	0	0	31.19	19.86	0	0.06	51	0	0	0	1441	0	0	0	2988	4	0	0.13	20.45	611	0	932	0	68.68	2052	0.684
"SBN_4N_4"	50.62	0	0	1	1	42.33	21.16	0	0.01	22	0	0	0	143261	0	0	0	282989	1415	0	0.5	6.55	18524	0	119789	0	57.17	161785	53.9283333333333
"SBN_4N_5"	50.47	0	0	1	1	42.76	21.17	0	0.01	22	0	0	0	143026	0	0	0	283363	1502	0	0.53	6.24	17668	0	121167	0	56.71	160694	53.5646666666667
"SBN_4N_6"	50.09	0	0	1	1	43.03	21.14	0	0.01	23	0	0	0	128928	0	0	0	257411	798	0	0.31	6.58	16926	0	110759	0	56.67	145854	48.618
