Sample	coding_exons	GtRNAdb	intergenic	lncRNA	miRNA	miRNA_primary_transcript	misc_RNA_ensembl	Mt_rRNA_ensembl	Mt_tRNA_ensembl	piRBase	protein_coding_gene	ribozyme_ensembl	rRNA_ensembl	scaRNA_ensembl	snoRNA_ensembl	snRNA_ensembl	sRNA_ensembl	unmapped_reads
SB_C3_3	350	1726	12412	3584	127335	35	85	4	15	110	12160	160	211	1	11136	19	0	108433
SB_C3_2	319	1529	13457	3419	119569	32	52	6	4	132	12585	130	140	0	14892	19	0	107965
SB_C3_1	298	1677	11318	3665	126942	44	90	5	11	71	11281	158	251	0	8864	12	0	108479
CL_SB_3	99	36	992	651	5586	8	2	0	1	8	1427	2	18	0	626	1	0	7956
CL_SB_2	83	3	817	519	1760	0	0	0	1	0	1257	2	68	0	102	0	0	3199
CL_SB_1	40	18	478	319	1954	3	2	0	0	4	687	0	47	0	175	0	0	2923
CL_4N_3	49	2	525	251	1734	1	8	0	0	1	716	0	3	0	17	0	0	2135
CL_4N_2	81	7	763	549	645	0	5	0	0	0	1377	0	0	0	10	0	0	1579
CL_4N_1	57	5	559	384	726	2	1	0	0	0	931	2	1	0	13	1	0	1384
CL_Rand_3	49	13	454	341	318	0	5	0	0	0	651	0	3	0	27	0	0	848
CL_Rand_2	46	8	377	275	295	0	5	0	0	0	597	0	1	0	27	0	0	765
CL_Rand_1	53	8	472	319	180	0	3	0	0	2	762	0	3	0	9	0	0	773
CL_C3_3	177	145	1568	1015	9958	11	6	2	2	46	2344	5	120	0	420	4	0	15325
CL_C3_2	756	643	9253	3818	38718	56	27	2	1	38	11703	54	170	0	1956	12	0	89139
CL_C3_1	558	1341	6783	3316	33194	53	37	0	4	93	8596	44	288	0	1166	29	0	73420
CL_UMI6_3	1068	1850	12686	5438	48707	36	69	4	0	130	14175	178	427	0	2169	31	0	111192
CL_UMI6_2	609	1692	8372	5113	61696	72	96	2	5	148	9441	205	598	0	2336	58	0	82025
CL_UMI6_1	359	273	7959	4311	93903	91	111	3	2	52	9720	112	677	0	5274	22	0	91896
CL_16C_3	359	1077	8449	4460	86803	100	97	0	1	104	10649	116	649	0	6651	28	0	84850
CL_16C_2	308	395	6814	3670	85172	92	51	2	2	117	9226	37	450	0	4703	9	0	79790
CL_16C_1	52	65	679	453	5465	11	12	1	0	8	1086	4	45	0	328	0	0	5549
CL_Block_3	46	5	376	269	77	0	0	0	0	0	600	0	0	0	8	0	0	616
CL_Block_2	43	0	365	248	28	0	0	0	0	0	581	0	0	0	3	0	0	559
CL_Block_1	43	3	484	291	145	0	0	0	0	1	665	0	0	0	12	0	0	724
