ID	Group	Sample name	method	3'adapter	5'adapter
SB_C3_3_ME	SB_C3	SB_C3_3	Sandberg	CleanTag	C3
SB_C3_2_ME	SB_C3	SB_C3_2	Sandberg	CleanTag	C3
SB_C3_1_ME	SB_C3	SB_C3_1	Sandberg	CleanTag	C3
CL_SB_3_ME	CL_SB	CL_SB_3	CleanTag	Sandberg	Sandberg
CL_SB_2_ME	CL_SB	CL_SB_2	CleanTag	Sandberg	Sandberg
CL_SB_1_ME	CL_SB	CL_SB_1	CleanTag	Sandberg	Sandberg
CL_4N_3_ME	CL_4N	CL_4N_3	CleanTag	4N	4N
CL_4N_2_ME	CL_4N	CL_4N_2	CleanTag	4N	4N
CL_4N_1_ME	CL_4N	CL_4N_1	CleanTag	4N	4N
CL_Rand_3_ME	CL_Rand	CL_Rand_3	CleanTag	Rand	CleanTag
CL_Rand_2_ME	CL_Rand	CL_Rand_2	CleanTag	Rand	CleanTag
CL_Rand_1_ME	CL_Rand	CL_Rand_1	CleanTag	Rand	CleanTag
CL_C3_3_ME	CL_C3	CL_C3_3	CleanTag	CleanTag	C3
CL_C3_2_ME	CL_C3	CL_C3_2	CleanTag	CleanTag	C3
CL_C3_1_ME	CL_C3	CL_C3_1	CleanTag	CleanTag	C3
CL_UMI6_3_ME	CL_UMI6	CL_UMI6_3	CleanTag	CleanTag	CleanTag UMI6
CL_UMI6_2_ME	CL_UMI6	CL_UMI6_2	CleanTag	CleanTag	CleanTag UMI6
CL_UMI6_1_ME	CL_UMI6	CL_UMI6_1	CleanTag	CleanTag	CleanTag UMI6
CL_16C_3_ME	CL_16C	CL_16C_3	CleanTag	CleanTag	CleanTag
CL_16C_2_ME	CL_16C	CL_16C_2	CleanTag	CleanTag	CleanTag
CL_16C_1_ME	CL_16C	CL_16C_1	CleanTag	CleanTag	CleanTag
CL_Block_3_ME	CL_Block	CL_Block_3	CleanTag	CleanTag	Block
CL_Block_2_ME	CL_Block	CL_Block_2	CleanTag	CleanTag	Block
CL_Block_1_ME	CL_Block	CL_Block_1	CleanTag	CleanTag	Block
SB_CL_3_ME	SB_CL	SB_CL_3	Sandberg	CleanTag	CleanTag
SB_CL_2_ME	SB_CL	SB_CL_2	Sandberg	CleanTag	CleanTag
SB_CL_1_ME	SB_CL	SB_CL_1	Sandberg	CleanTag	CleanTag
SB_4N_3_ME	SB_4N	SB_4N_3	Sandberg	4N	4N
